ticker,in_pool,contract,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,max_loss,risk_pct_of_account,spread_pct,iv,delta,theta,prob_itm,volume,oi,score
F,,F261030C00013500,2026-10-30,37,C,13.5,3.07,13.0981,0.45,0.49,0.47,47.0,4.7,8.5,0.3704,0.4318,-0.0078,38.9,394,1051,34.7
NIO,,NIO261120C00004000,2026-11-20,58,C,4.0,7.53,3.72,0.21,0.23,0.22,22.0,2.2,9.1,0.5196,0.4331,-0.0026,33.6,1332,50030,34.2
F,,F261120C00014000,2026-11-20,58,C,14.0,6.89,13.0981,0.4,0.43,0.415,41.5,4.2,7.2,0.3674,0.3534,-0.0061,31.4,1873,5100,28.1
SOFI,,SOFI261023C00018500,2026-10-23,30,C,18.5,7.5,17.21,0.44,0.46,0.45,45.0,4.5,4.4,0.4553,0.3223,-0.013,27.6,706,1591,27.8
T,,T261023C00026000,2026-10-23,30,C,26.0,3.42,25.14,0.39,0.43,0.41,41.0,4.1,9.8,0.2815,0.3391,-0.0127,33.9,65,3216,24.1
PFE,,PFE261030C00029000,2026-10-30,37,C,29.0,3.94,27.8994,0.38,0.42,0.4,40.0,4.0,10.0,0.213,0.333,-0.0093,29.3,114,875,23.3
F,,F261030P00012500,2026-10-30,37,P,12.5,-4.57,13.0981,0.33,0.36,0.345,34.5,3.5,8.7,0.3715,-0.3169,-0.0073,35.6,92,375,23.0
RIVN,,RIVN261023P00014000,2026-10-23,30,P,14.0,-7.32,15.106,0.38,0.4,0.39,39.0,3.9,5.1,0.5092,-0.2661,-0.012,31.9,196,558,21.5
T,,T261120C00027000,2026-11-20,58,C,27.0,7.4,25.14,0.38,0.4,0.39,39.0,3.9,5.1,0.2655,0.2601,-0.0073,25.2,195,5215,20.9
F,,F261120P00012000,2026-11-20,58,P,12.0,-8.38,13.0981,0.33,0.35,0.34,34.0,3.4,5.9,0.3728,-0.268,-0.0054,28.9,203,2458,20.9
SOFI,,SOFI261023C00019000,2026-10-23,30,C,19.0,10.4,17.21,0.32,0.34,0.33,33.0,3.3,6.1,0.4563,0.2575,-0.0118,21.3,1456,5286,19.6
SOFI,,SOFI261030C00019500,2026-10-30,37,C,19.5,13.31,17.21,0.4,0.44,0.42,42.0,4.2,9.5,0.517,0.262,-0.0121,20.7,409,700,16.7
