contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
F261009C00010000,F,2026-10-09,17,C,10.0,-23.61,13.09,3.05,3.25,3.15,3.1,6.3,0.7493,0.992,0.014,-0.0005,0.0006,3.1443,94.5,2,154
F261009P00010000,F,2026-10-09,17,P,10.0,-23.61,13.09,0.0,0.02,0.02,0.02,,0.6046,-0.0077,0.0141,-0.0008,0.0006,0.0102,2.2,0,39
F261009C00010500,F,2026-10-09,17,C,10.5,-19.79,13.09,2.58,2.71,2.645,2.62,4.9,0.6124,0.9857,0.0262,-0.001,0.001,2.6391,94.7,8,11
F261009P00010500,F,2026-10-09,17,P,10.5,-19.79,13.09,0.0,0.22,0.01,0.01,,0.4611,-0.0141,0.0263,-0.0013,0.001,0.0052,1.4,0,200
F261009C00011000,F,2026-10-09,17,C,11.0,-15.97,13.09,2.1,2.22,2.16,2.16,5.6,0.55,0.973,0.0503,-0.0018,0.0018,2.1539,92.2,10,30
F261009P00011000,F,2026-10-09,17,P,11.0,-15.97,13.09,0.0,0.03,0.02,0.02,,0.4455,-0.0268,0.0505,-0.0021,0.0018,0.0153,3.7,0,10
F261009C00011500,F,2026-10-09,17,C,11.5,-12.15,13.09,1.61,1.72,1.665,1.63,6.6,0.4477,0.9466,0.0985,-0.0032,0.0031,1.6588,90.5,2,12
F261009P00011500,F,2026-10-09,17,P,11.5,-12.15,13.09,0.01,0.03,0.02,0.02,100.0,0.3698,-0.0534,0.099,-0.0034,0.0031,0.0204,5.4,25,69
F261009C00012000,F,2026-10-09,17,C,12.0,-8.33,13.09,1.13,1.25,1.19,1.15,10.1,0.3778,0.8899,0.191,-0.0052,0.0054,1.1839,85.3,2,38
F261009P00012000,F,2026-10-09,17,P,12.0,-8.33,13.09,0.04,0.05,0.045,0.05,22.2,0.3303,-0.1105,0.1923,-0.0054,0.0054,0.0455,11.3,92,177
F261009C00012500,F,2026-10-09,17,C,12.5,-4.51,13.09,0.72,0.82,0.77,0.7,13.0,0.3472,0.7718,0.3385,-0.0078,0.0086,0.7644,72.7,13,85
F261009P00012500,F,2026-10-09,17,P,12.5,-4.51,13.09,0.11,0.13,0.12,0.11,16.7,0.3126,-0.2296,0.3412,-0.008,0.0086,0.1208,24.9,153,837
F261009C00013000,F,2026-10-09,17,C,13.0,-0.69,13.09,0.4,0.43,0.415,0.43,7.2,0.3124,0.57,0.4636,-0.0098,0.0111,0.4105,53.8,370,599
F261009P00013000,F,2026-10-09,17,P,13.0,-0.69,13.09,0.27,0.3,0.285,0.3,10.5,0.3031,-0.4334,0.4687,-0.01,0.0111,0.286,46.0,765,1362
