contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
HEI261016C00230000,HEI,2026-10-16,23,C,230.0,-24.1,303.03,72.4,75.4,73.9,0.0,4.1,0.5814,0.9818,0.001,-0.022,0.0343,74.0262,96.7,0,0
HEI261016P00230000,HEI,2026-10-16,23,P,230.0,-24.1,303.03,0.0,2.0,0.3,0.3,,0.6554,-0.0172,0.001,-0.0332,0.0343,0.808,5.4,0,3
HEI261016C00240000,HEI,2026-10-16,23,C,240.0,-20.8,303.03,62.5,65.6,64.05,0.0,4.8,0.5244,0.9725,0.0016,-0.035,0.0494,64.1515,95.8,0,0
HEI261016P00240000,HEI,2026-10-16,23,P,240.0,-20.8,303.03,0.0,1.25,0.35,0.35,,0.5203,-0.0265,0.0016,-0.0446,0.0494,0.4954,4.1,0,1
HEI261016C00250000,HEI,2026-10-16,23,C,250.0,-17.5,303.03,53.0,55.8,54.4,0.0,5.1,0.487,0.9577,0.0025,-0.0517,0.0712,54.45,93.7,0,0
HEI261016P00250000,HEI,2026-10-16,23,P,250.0,-17.5,303.03,0.0,2.65,0.5,0.5,,0.5329,-0.0414,0.0025,-0.06,0.0713,1.1862,8.2,3,11
HEI261016C00260000,HEI,2026-10-16,23,C,260.0,-14.2,303.03,43.0,46.2,44.6,0.0,7.2,0.4231,0.9336,0.004,-0.0733,0.1025,44.6267,92.1,0,0
HEI261016P00260000,HEI,2026-10-16,23,P,260.0,-14.2,303.03,0.0,3.1,1.07,1.07,,0.4579,-0.0656,0.004,-0.0801,0.1026,1.3041,9.7,0,5
HEI261016C00270000,HEI,2026-10-16,23,C,270.0,-10.9,303.03,33.5,36.6,35.05,0.0,8.8,0.3726,0.894,0.0062,-0.1001,0.1459,35.03,88.8,0,0
HEI261016P00270000,HEI,2026-10-16,23,P,270.0,-10.9,303.03,0.0,3.4,1.55,1.55,,0.3823,-0.1054,0.0062,-0.1057,0.1467,1.4481,11.9,0,2
HEI261016C00280000,HEI,2026-10-16,23,C,280.0,-7.6,303.03,24.4,27.5,25.95,26.5,11.9,0.3333,0.829,0.0094,-0.1311,0.2022,25.8606,82.5,5,0
HEI261016P00280000,HEI,2026-10-16,23,P,280.0,-7.6,303.03,0.7,3.5,2.1,2.2,133.3,0.3161,-0.1709,0.0094,-0.1355,0.2026,1.8223,16.2,1,18
HEI261016C00290000,HEI,2026-10-16,23,C,290.0,-4.3,303.03,16.1,19.3,17.7,12.7,18.1,0.3043,0.7259,0.0135,-0.1611,0.2645,17.5216,71.6,0,1
HEI261016P00290000,HEI,2026-10-16,23,P,290.0,-4.3,303.03,2.7,5.3,4.0,6.2,65.0,0.2981,-0.275,0.0136,-0.1645,0.2651,3.6095,28.0,0,11
HEI261016C00300000,HEI,2026-10-16,23,C,300.0,-1.0,303.03,9.5,12.4,10.95,9.58,26.5,0.288,0.5766,0.017,-0.1783,0.3103,10.7069,55.5,4,54
HEI261016P00300000,HEI,2026-10-16,23,P,300.0,-1.0,303.03,6.1,8.4,7.25,6.96,31.7,0.2828,-0.4252,0.0172,-0.1807,0.3107,6.7673,44.4,30,20
HEI261016C00310000,HEI,2026-10-16,23,C,310.0,2.3,303.03,4.8,7.4,6.1,5.5,42.6,0.2797,0.401,0.0175,-0.1696,0.3068,5.831,37.3,5,22
HEI261016P00310000,HEI,2026-10-16,23,P,310.0,2.3,303.03,11.1,13.5,12.3,15.99,19.5,0.2708,-0.6034,0.0178,-0.1713,0.3054,11.7594,63.0,0,17
HEI261016C00320000,HEI,2026-10-16,23,C,320.0,5.6,303.03,1.7,4.0,2.85,3.41,80.7,0.2677,0.2464,0.0143,-0.1378,0.2515,2.6316,21.0,6,16
HEI261016P00320000,HEI,2026-10-16,23,P,320.0,5.6,303.03,18.4,21.0,19.7,20.05,13.2,0.2816,-0.7614,0.0147,-0.1389,0.2464,19.1216,78.0,0,13
HEI261016C00330000,HEI,2026-10-16,23,C,330.0,8.9,303.03,1.05,1.75,1.4,1.52,50.0,0.276,0.1422,0.0099,-0.1007,0.1808,1.2417,11.0,3,41
HEI261016P00330000,HEI,2026-10-16,23,P,330.0,8.9,303.03,26.3,29.2,27.75,27.2,10.5,0.2602,-0.8688,0.0103,-0.1013,0.1685,27.1465,90.3,1,18
HEI261016C00340000,HEI,2026-10-16,23,C,340.0,12.2,303.03,0.0,2.0,2.95,2.95,,0.3133,0.0819,0.0063,-0.0705,0.1226,0.8615,7.1,0,332
HEI261016P00340000,HEI,2026-10-16,23,P,340.0,12.2,303.03,35.7,38.6,37.15,14.8,7.8,0.2546,-0.9322,0.0069,-0.071,0.1038,36.4358,96.4,0,100
HEI261016C00350000,HEI,2026-10-16,23,C,350.0,15.5,303.03,0.0,0.9,0.25,0.25,,0.3141,0.0485,0.004,-0.0491,0.082,0.3699,3.3,0,4
HEI261016P00350000,HEI,2026-10-16,23,P,350.0,15.5,303.03,45.4,48.4,46.9,30.4,6.4,0.0,-0.9681,0.0046,-0.0491,0.0574,,,0,0
HEI261016C00360000,HEI,2026-10-16,23,C,360.0,18.8,303.03,0.0,2.3,2.7,2.7,,0.4392,0.0298,0.0025,-0.0346,0.0555,0.972,5.5,0,6
HEI261016P00360000,HEI,2026-10-16,23,P,360.0,18.8,303.03,55.4,58.4,56.9,38.95,5.3,0.0,-0.9888,0.0028,-0.0357,0.0212,,,0,0
HEI261016C00370000,HEI,2026-10-16,23,C,370.0,22.1,303.03,0.0,2.15,2.28,2.28,,0.4845,0.0191,0.0016,-0.0248,0.0382,0.8982,4.6,0,9
