contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
NEE261009C00060000,NEE,2026-10-09,16,C,60.0,-24.36,79.32,18.95,21.2,20.075,0.0,11.2,0.9886,0.9928,0.0022,-0.0028,0.0035,19.9975,89.5,0,0
NEE261009P00060000,NEE,2026-10-09,16,P,60.0,-24.36,79.32,0.0,0.05,,0.0,,0.5526,-0.0074,0.0022,-0.005,0.0035,0.0199,0.9,0,0
NEE261009C00065000,NEE,2026-10-09,16,C,65.0,-18.05,79.32,13.75,15.5,14.625,0.0,12.0,0.565,0.9879,0.0044,-0.0045,0.0056,14.5896,94.9,0,0
NEE261009P00065000,NEE,2026-10-09,16,P,65.0,-18.05,79.32,0.0,0.07,,0.0,,0.4293,-0.0122,0.0044,-0.0062,0.0056,0.0285,1.4,0,0
NEE261009C00069000,NEE,2026-10-09,16,C,69.0,-13.01,79.32,10.3,11.9,11.1,0.0,14.4,0.594,0.9785,0.0092,-0.0068,0.0092,11.0286,85.8,0,0
NEE261009P00069000,NEE,2026-10-09,16,P,69.0,-13.01,79.32,0.0,1.68,,0.0,,0.6462,-0.0218,0.0092,-0.008,0.0093,0.7658,16.5,0,0
NEE261009C00070000,NEE,2026-10-09,16,C,70.0,-11.75,79.32,9.3,10.9,10.1,0.0,15.8,0.5501,0.974,0.0115,-0.0077,0.0108,10.0298,85.2,0,0
NEE261009P00070000,NEE,2026-10-09,16,P,70.0,-11.75,79.32,0.0,2.0,0.37,0.37,,0.6399,-0.0263,0.0116,-0.0088,0.0108,0.9187,19.0,0,1
NEE261009C00071000,NEE,2026-10-09,16,C,71.0,-10.49,79.32,7.15,9.9,8.525,0.0,32.3,0.2897,0.9679,0.0146,-0.0089,0.0128,8.5007,96.6,0,0
NEE261009P00071000,NEE,2026-10-09,16,P,71.0,-10.49,79.32,0.0,0.15,,0.0,,0.2961,-0.0325,0.0148,-0.0099,0.013,0.0638,3.7,0,0
NEE261009C00072000,NEE,2026-10-09,16,C,72.0,-9.23,79.32,7.35,8.95,8.15,0.0,19.6,0.4746,0.9591,0.0192,-0.0104,0.0156,8.0802,82.7,0,0
NEE261009P00072000,NEE,2026-10-09,16,P,72.0,-9.23,79.32,0.0,0.16,,0.0,,0.2688,-0.0415,0.0194,-0.0114,0.0158,0.0684,4.2,0,0
NEE261009C00073000,NEE,2026-10-09,16,C,73.0,-7.97,79.32,6.2,7.85,7.025,0.0,23.5,0.3996,0.9459,0.0257,-0.0125,0.0195,6.9642,83.4,0,0
NEE261009P00073000,NEE,2026-10-09,16,P,73.0,-7.97,79.32,0.0,2.22,0.18,0.18,,0.5202,-0.0548,0.026,-0.0134,0.0196,1.0328,23.5,0,4
NEE261009C00074000,NEE,2026-10-09,16,C,74.0,-6.71,79.32,5.2,7.0,6.1,0.0,29.5,0.3731,0.9253,0.0353,-0.0154,0.025,6.0377,80.8,0,0
NEE261009P00074000,NEE,2026-10-09,16,P,74.0,-6.71,79.32,0.1,0.23,0.165,0.21,78.8,0.2441,-0.076,0.0359,-0.0163,0.0252,0.1457,8.6,1,2
NEE261009C00075000,NEE,2026-10-09,16,C,75.0,-5.45,79.32,3.65,6.25,4.95,5.1,52.5,0.2947,0.8922,0.049,-0.0197,0.0326,4.8981,81.7,10,0
NEE261009P00075000,NEE,2026-10-09,16,P,75.0,-5.45,79.32,0.16,0.22,0.19,0.35,31.6,0.217,-0.1097,0.0498,-0.0205,0.0328,0.1694,10.6,0,19
NEE261009C00076000,NEE,2026-10-09,16,C,76.0,-4.19,79.32,3.45,5.2,4.325,0.0,40.5,0.3234,0.8407,0.0667,-0.0253,0.0422,4.2591,73.4,0,0
NEE261009P00076000,NEE,2026-10-09,16,P,76.0,-4.19,79.32,0.26,0.42,0.34,0.26,47.1,0.2186,-0.1615,0.0677,-0.026,0.0427,0.3116,17.1,0,294
