contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
NIO261009C00003000,NIO,2026-10-09,16,C,3.0,-20.0,3.75,0.69,0.84,0.765,0.76,19.6,0.8813,0.9465,0.2097,-0.0016,0.0009,0.7885,87.0,3,243
NIO261009P00003000,NIO,2026-10-09,16,P,3.0,-20.0,3.75,0.0,0.06,0.01,0.01,,0.5452,-0.0545,0.2107,-0.0016,0.0009,0.0035,2.8,0,733
NIO261009C00003500,NIO,2026-10-09,16,C,3.5,-6.67,3.75,0.24,0.32,0.28,0.28,28.6,0.4466,0.7494,0.8498,-0.0035,0.0026,0.3,76.1,197,1105
NIO261009P00003500,NIO,2026-10-09,16,P,3.5,-6.67,3.75,0.05,0.07,0.06,0.06,33.3,0.469,-0.2532,0.857,-0.0036,0.0026,0.049,25.1,56,2924
NIO261009C00004000,NIO,2026-10-09,16,C,4.0,6.67,3.75,0.05,0.07,0.06,0.06,33.3,0.4659,0.2655,0.849,-0.0037,0.0026,0.0592,24.4,1958,7232
NIO261009P00004000,NIO,2026-10-09,16,P,4.0,6.67,3.75,0.27,0.36,0.315,0.33,28.6,0.4019,-0.7428,0.865,-0.0038,0.0026,0.286,78.5,11,1945
NIO261009C00004500,NIO,2026-10-09,16,C,4.5,20.0,3.75,0.01,0.02,0.015,0.02,66.7,0.5826,0.0758,0.3048,-0.0019,0.0012,0.0153,6.2,1689,7375
NIO261009P00004500,NIO,2026-10-09,16,P,4.5,20.0,3.75,0.75,1.02,0.885,0.71,30.5,1.0722,-0.9365,0.3249,-0.0019,0.001,0.8516,82.0,42,597
NIO261016C00003000,NIO,2026-10-16,23,C,3.0,-20.0,3.75,0.55,0.78,0.665,0.77,34.6,0.0,0.9475,0.2041,-0.0011,0.001,,,127,1458
NIO261016P00003000,NIO,2026-10-16,23,P,3.0,-20.0,3.75,0.01,0.02,0.015,0.02,66.7,0.5791,-0.0538,0.2053,-0.0012,0.001,0.0126,6.9,17,808
NIO261016C00003500,NIO,2026-10-16,23,C,3.5,-6.67,3.75,0.2,0.35,0.275,0.31,54.5,0.3202,0.7263,0.7246,-0.0032,0.0032,0.2886,80.2,266,42
NIO261016P00003500,NIO,2026-10-16,23,P,3.5,-6.67,3.75,0.08,0.09,0.085,0.08,11.8,0.4864,-0.2769,0.7315,-0.0032,0.0032,0.0762,30.0,90,142
NIO261016C00004000,NIO,2026-10-16,23,C,4.0,6.67,3.75,0.08,0.09,0.085,0.09,11.8,0.4724,0.3156,0.7758,-0.0034,0.0034,0.0874,28.0,4924,29575
NIO261016P00004000,NIO,2026-10-16,23,P,4.0,6.67,3.75,0.32,0.39,0.355,0.34,19.7,0.4979,-0.6933,0.7926,-0.0034,0.0034,0.336,71.2,54,15752
NIO261016C00004500,NIO,2026-10-16,23,C,4.5,20.0,3.75,0.01,0.03,0.02,0.03,100.0,0.5165,0.0901,0.332,-0.0016,0.0016,0.0201,7.3,161,35
NIO261016P00004500,NIO,2026-10-16,23,P,4.5,20.0,3.75,0.76,0.86,0.81,0.0,12.3,0.6569,-0.9264,0.3596,-0.0017,0.0013,0.7859,88.0,0,0
NIO261023C00003000,NIO,2026-10-23,30,C,3.0,-20.0,3.75,0.67,0.85,0.76,0.67,23.7,0.5944,0.9335,0.228,-0.0011,0.0014,0.7842,89.3,0,40
NIO261023P00003000,NIO,2026-10-23,30,P,3.0,-20.0,3.75,0.01,0.03,0.02,0.01,100.0,0.5428,-0.0682,0.2296,-0.0012,0.0014,0.0169,8.4,239,146
NIO261023C00003500,NIO,2026-10-23,30,C,3.5,-6.67,3.75,0.31,0.36,0.335,0.34,14.9,0.469,0.7107,0.6916,-0.0027,0.0037,0.3521,68.1,16,315
NIO261023P00003500,NIO,2026-10-23,30,P,3.5,-6.67,3.75,0.09,0.11,0.1,0.1,20.0,0.4638,-0.2932,0.6996,-0.0028,0.0037,0.0887,31.7,127,715
NIO261023C00004000,NIO,2026-10-23,30,C,4.0,6.67,3.75,0.08,0.11,0.095,0.1,31.6,0.4467,0.3301,0.725,-0.0029,0.0039,0.1012,29.4,1734,2241
NIO261023P00004000,NIO,2026-10-23,30,P,4.0,6.67,3.75,0.33,0.38,0.355,0.36,14.1,0.4258,-0.6802,0.7437,-0.003,0.0039,0.3299,71.3,100,518
NIO261023C00004500,NIO,2026-10-23,30,C,4.5,20.0,3.75,0.02,0.04,0.03,0.03,66.7,0.5084,0.1088,0.3518,-0.0016,0.002,0.0316,9.7,182,1658
NIO261023P00004500,NIO,2026-10-23,30,P,4.5,20.0,3.75,0.72,0.87,0.795,0.85,18.9,0.4722,-0.91,0.3802,-0.0016,0.0017,0.7593,91.8,0,242
NIO261030C00003000,NIO,2026-10-30,37,C,3.0,-20.0,3.75,0.56,0.87,0.715,0.8,43.4,0.0,0.9201,0.238,-0.0012,0.0018,,,36,198
NIO261030P00003000,NIO,2026-10-30,37,P,3.0,-20.0,3.75,0.01,0.04,0.025,0.02,120.0,0.5254,-0.082,0.2401,-0.0012,0.0018,0.0224,10.1,2,34
NIO261030C00003500,NIO,2026-10-30,37,C,3.5,-6.67,3.75,0.33,0.54,0.435,0.35,48.3,0.6354,0.699,0.6007,-0.0026,0.0042,0.4423,60.3,67,656
