contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
SNAP261009C00004500,SNAP,2026-10-09,16,C,4.5,-20.21,5.64,1.11,1.29,1.2,1.2,15.0,0.8799,0.925,0.15,-0.0037,0.0017,1.1961,87.4,4,22
SNAP261009P00004500,SNAP,2026-10-09,16,P,4.5,-20.21,5.64,0.0,0.28,0.02,0.02,,1.214,-0.0754,0.1505,-0.0038,0.0017,0.129,22.1,0,124
SNAP261009C00005000,SNAP,2026-10-09,16,C,5.0,-11.35,5.64,0.57,0.77,0.67,0.79,29.9,0.4346,0.8616,0.3307,-0.0042,0.0027,0.6688,90.3,0,114
SNAP261009P00005000,SNAP,2026-10-09,16,P,5.0,-11.35,5.64,0.04,0.05,0.045,0.04,22.2,0.5316,-0.1392,0.3324,-0.0043,0.0027,0.0406,14.9,1,268
SNAP261009C00005500,SNAP,2026-10-09,16,C,5.5,-2.48,5.64,0.32,0.37,0.345,0.35,14.5,0.5513,0.6127,0.5777,-0.0075,0.0047,0.3379,57.0,220,2611
SNAP261009P00005500,SNAP,2026-10-09,16,P,5.5,-2.48,5.64,0.18,0.23,0.205,0.2,24.4,0.5678,-0.3896,0.5815,-0.0076,0.0047,0.1957,43.4,39,3599
SNAP261009C00006000,SNAP,2026-10-09,16,C,6.0,6.38,5.64,0.13,0.19,0.16,0.15,37.5,0.6068,0.3413,0.5123,-0.0078,0.0045,0.1521,29.6,354,1535
SNAP261009P00006000,SNAP,2026-10-09,16,P,6.0,6.38,5.64,0.4,0.54,0.47,0.38,29.8,0.5092,-0.6628,0.5175,-0.0078,0.0044,0.4602,73.1,2,527
SNAP261009C00006500,SNAP,2026-10-09,16,C,6.5,15.25,5.64,0.04,0.06,0.05,0.05,40.0,0.5809,0.1578,0.3264,-0.0051,0.0029,0.0454,11.3,151,2226
SNAP261009P00006500,SNAP,2026-10-09,16,P,6.5,15.25,5.64,0.83,0.97,0.9,0.84,15.6,0.5646,-0.8487,0.3326,-0.0051,0.0028,0.8899,89.3,0,24
SNAP261009C00007000,SNAP,2026-10-09,16,C,7.0,24.11,5.64,0.02,0.03,0.025,0.02,40.0,0.6556,0.0766,0.1784,-0.0033,0.0018,0.0219,5.2,3,659
SNAP261009P00007000,SNAP,2026-10-09,16,P,7.0,24.11,5.64,1.29,1.66,1.475,1.41,25.1,1.0261,-0.9316,0.1866,-0.0033,0.0016,1.4603,86.5,0,11
SNAP261016C00004500,SNAP,2026-10-16,23,C,4.5,-20.21,5.64,1.05,1.4,1.225,0.0,28.6,0.8511,0.9386,0.1397,-0.002,0.0018,1.2295,83.2,0,0
SNAP261016P00004500,SNAP,2026-10-16,23,P,4.5,-20.21,5.64,0.0,0.08,0.03,0.03,,0.6803,-0.0618,0.1404,-0.0021,0.0018,0.036,10.5,0,3
SNAP261016C00005000,SNAP,2026-10-16,23,C,5.0,-11.35,5.64,0.69,0.75,0.72,0.71,8.3,0.5428,0.8244,0.3272,-0.0042,0.0037,0.7247,79.8,1173,4149
SNAP261016P00005000,SNAP,2026-10-16,23,P,5.0,-11.35,5.64,0.07,0.09,0.08,0.08,25.0,0.5471,-0.1766,0.329,-0.0042,0.0038,0.0737,20.4,52,19588
SNAP261016C00005500,SNAP,2026-10-16,23,C,5.5,-2.48,5.64,0.34,0.43,0.385,0.42,23.4,0.542,0.6007,0.4897,-0.0063,0.0056,0.3848,55.4,12,7
SNAP261016P00005500,SNAP,2026-10-16,23,P,5.5,-2.48,5.64,0.23,0.25,0.24,0.24,8.3,0.5372,-0.4019,0.4935,-0.0064,0.0056,0.2284,44.5,338,135
SNAP261016C00006000,SNAP,2026-10-16,23,C,6.0,6.38,5.64,0.18,0.21,0.195,0.19,15.4,0.5792,0.3686,0.4513,-0.0066,0.0054,0.192,31.5,5064,44796
SNAP261016P00006000,SNAP,2026-10-16,23,P,6.0,6.38,5.64,0.38,0.58,0.48,0.55,41.7,0.4407,-0.636,0.4568,-0.0066,0.0054,0.4648,72.3,102,4534
SNAP261016C00006500,SNAP,2026-10-16,23,C,6.5,15.25,5.64,0.08,0.1,0.09,0.09,22.2,0.5996,0.2071,0.3228,-0.0052,0.0041,0.087,15.8,163,735
SNAP261016P00006500,SNAP,2026-10-16,23,P,6.5,15.25,5.64,0.81,1.0,0.905,0.82,21.0,0.4731,-0.7997,0.3294,-0.0052,0.004,0.8861,89.1,0,5
SNAP261016C00007000,SNAP,2026-10-16,23,C,7.0,24.11,5.64,0.05,0.06,0.055,0.05,18.2,0.6738,0.1189,0.2077,-0.0039,0.0029,0.0522,8.9,1101,37052
SNAP261016P00007000,SNAP,2026-10-16,23,P,7.0,24.11,5.64,1.31,1.44,1.375,1.34,9.5,0.0,-0.8896,0.2148,-0.0038,0.0027,,,11,1446
SNAP261023C00004500,SNAP,2026-10-23,30,C,4.5,-20.21,5.64,0.87,3.3,2.085,1.47,116.5,2.5176,0.9186,0.1544,-0.0022,0.0025,2.072,48.3,0,3
SNAP261023P00004500,SNAP,2026-10-23,30,P,4.5,-20.21,5.64,0.01,0.06,0.035,0.03,142.9,0.6002,-0.0819,0.1551,-0.0023,0.0025,0.0367,10.7,1,158
SNAP261023C00005000,SNAP,2026-10-23,30,C,5.0,-11.35,5.64,0.48,1.1,0.79,1.0,78.5,0.6234,0.8004,0.3114,-0.0039,0.0046,0.7933,72.7,10,546
SNAP261023P00005000,SNAP,2026-10-23,30,P,5.0,-11.35,5.64,0.07,0.11,0.09,0.11,44.4,0.54,-0.2008,0.3134,-0.004,0.0046,0.0986,23.5,43,150
SNAP261023C00005500,SNAP,2026-10-23,30,C,5.5,-2.48,5.64,0.41,0.5,0.455,0.46,19.8,0.5834,0.5978,0.4303,-0.0056,0.0064,0.455,53.4,81,1642
SNAP261023P00005500,SNAP,2026-10-23,30,P,5.5,-2.48,5.64,0.21,0.29,0.25,0.29,32.0,0.5149,-0.405,0.4342,-0.0056,0.0064,0.2542,45.3,31,347
SNAP261023C00006000,SNAP,2026-10-23,30,C,6.0,6.38,5.64,0.18,0.27,0.225,0.24,40.0,0.5712,0.3893,0.4131,-0.0057,0.0063,0.2329,33.0,118,1108
SNAP261023P00006000,SNAP,2026-10-23,30,P,6.0,6.38,5.64,0.38,0.65,0.515,0.69,52.4,0.4518,-0.6157,0.4188,-0.0058,0.0063,0.5003,69.7,1,62
SNAP261023C00006500,SNAP,2026-10-23,30,C,6.5,15.25,5.64,0.1,0.15,0.125,0.12,40.0,0.598,0.2312,0.3171,-0.0047,0.005,0.1224,18.6,16,947
SNAP261023P00006500,SNAP,2026-10-23,30,P,6.5,15.25,5.64,0.0,3.05,0.91,0.91,,1.4964,-0.7764,0.3246,-0.0047,0.0049,1.5008,70.5,0,10
SNAP261023C00007000,SNAP,2026-10-23,30,C,7.0,24.11,5.64,0.03,0.07,0.05,0.06,80.0,0.5913,0.1352,0.2148,-0.0035,0.0036,0.0531,9.0,15,636
SNAP261023P00007000,SNAP,2026-10-23,30,P,7.0,24.11,5.64,1.31,1.55,1.43,1.36,16.8,0.6462,-0.8748,0.2232,-0.0034,0.0034,1.4092,89.3,11,70
SNAP261030C00004500,SNAP,2026-10-30,37,C,4.5,-20.21,5.64,1.07,1.91,1.49,1.49,56.4,1.2059,0.8955,0.1618,-0.0025,0.0033,1.4813,65.8,1,1
SNAP261030P00004500,SNAP,2026-10-30,37,P,4.5,-20.21,5.64,0.04,0.07,0.055,0.07,54.5,0.5974,-0.1053,0.1628,-0.0026,0.0033,0.0526,13.3,0,68
SNAP261030C00005000,SNAP,2026-10-30,37,C,5.0,-11.35,5.64,0.76,0.92,0.84,0.96,19.0,0.6326,0.7742,0.2812,-0.0041,0.0055,0.8345,69.8,5,13
SNAP261030P00005000,SNAP,2026-10-30,37,P,5.0,-11.35,5.64,0.13,0.19,0.16,0.16,37.5,0.5978,-0.2275,0.2833,-0.0042,0.0055,0.1553,28.8,188,73
SNAP261030C00005500,SNAP,2026-10-30,37,C,5.5,-2.48,5.64,0.47,0.56,0.515,0.54,17.5,0.5993,0.5991,0.3582,-0.0054,0.007,0.5086,52.3,19,485
SNAP261030P00005500,SNAP,2026-10-30,37,P,5.5,-2.48,5.64,0.31,0.37,0.34,0.33,17.6,0.5806,-0.4041,0.3618,-0.0055,0.007,0.3333,47.4,8,55
SNAP261030C00006000,SNAP,2026-10-30,37,C,6.0,6.38,5.64,0.26,0.32,0.29,0.31,20.7,0.5852,0.4236,0.3541,-0.0057,0.0071,0.2837,34.3,378,928
SNAP261030P00006000,SNAP,2026-10-30,37,P,6.0,6.38,5.64,0.56,0.7,0.63,0.5,22.2,0.5882,-0.5815,0.359,-0.0057,0.0071,0.6216,65.6,2,214
