contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
AEP261016C00090000,AEP,2026-10-16,22,C,90.0,-23.76,118.0475,26.2,30.2,28.2,0.0,14.2,0.0,0.9884,0.002,0.0,0.0088,,,0,0
AEP261016P00090000,AEP,2026-10-16,22,P,90.0,-23.76,118.0475,0.0,0.6,,0.0,,0.6536,-0.0114,0.002,-0.0091,0.0088,0.2973,5.2,0,0
AEP261016C00095000,AEP,2026-10-16,22,C,95.0,-19.52,118.0475,21.2,25.3,23.25,0.0,17.6,0.0,0.9847,0.0031,-0.0018,0.0114,,,0,0
AEP261016P00095000,AEP,2026-10-16,22,P,95.0,-19.52,118.0475,0.0,0.65,,0.0,,0.5538,-0.0152,0.0031,-0.0099,0.0115,0.3218,6.1,0,0
AEP261016C00100000,AEP,2026-10-16,22,C,100.0,-15.29,118.0475,16.2,20.4,18.3,0.0,23.0,0.2199,0.9777,0.0052,-0.005,0.0159,18.2898,99.9,0,0
AEP261016P00100000,AEP,2026-10-16,22,P,100.0,-15.29,118.0475,0.0,0.1,0.05,0.05,,0.3207,-0.0223,0.0052,-0.0114,0.016,0.0497,1.8,0,21
AEP261016C00105000,AEP,2026-10-16,22,C,105.0,-11.05,118.0475,12.6,14.7,13.65,0.0,15.4,0.3448,0.9607,0.0103,-0.0103,0.0255,13.6362,91.5,0,0
AEP261016P00105000,AEP,2026-10-16,22,P,105.0,-11.05,118.0475,0.0,0.15,0.1,0.1,,0.2544,-0.0395,0.0104,-0.0151,0.0256,0.074,3.0,0,403
AEP261016C00110000,AEP,2026-10-16,22,C,110.0,-6.82,118.0475,7.8,9.0,8.4,8.45,14.3,0.1681,0.9087,0.0248,-0.021,0.0489,8.3848,96.0,1,1
AEP261016P00110000,AEP,2026-10-16,22,P,110.0,-6.82,118.0475,0.2,0.5,0.35,0.32,85.7,0.2395,-0.0924,0.0252,-0.0242,0.0493,0.3443,11.3,0,165
AEP261016C00115000,AEP,2026-10-16,22,C,115.0,-2.58,118.0475,4.1,4.5,4.3,4.0,9.3,0.1964,0.7282,0.0571,-0.0421,0.097,4.2824,71.5,1,2
AEP261016P00115000,AEP,2026-10-16,22,P,115.0,-2.58,118.0475,0.85,1.1,0.975,1.05,25.6,0.1969,-0.2755,0.0581,-0.044,0.0974,0.9628,28.5,15,2250
AEP261016C00120000,AEP,2026-10-16,22,C,120.0,1.65,118.0475,1.4,1.55,1.475,1.5,10.2,0.1884,0.3936,0.0694,-0.0479,0.112,1.4613,37.2,145,184
AEP261016P00120000,AEP,2026-10-16,22,P,120.0,1.65,118.0475,3.1,3.3,3.2,3.1,6.2,0.1913,-0.6184,0.0717,-0.049,0.1105,3.1571,62.6,62,1114
AEP261016C00125000,AEP,2026-10-16,22,C,125.0,5.89,118.0475,0.25,0.35,0.3,0.33,33.3,0.1834,0.1207,0.0372,-0.024,0.0601,0.2956,10.7,67,882
AEP261016P00125000,AEP,2026-10-16,22,P,125.0,5.89,118.0475,6.8,7.4,7.1,7.1,8.5,0.1876,-0.9066,0.0406,-0.0233,0.0495,6.9713,88.7,20,2042
AEP261016C00130000,AEP,2026-10-16,22,C,130.0,10.13,118.0475,0.05,0.2,0.125,0.1,120.0,0.225,0.0452,0.0147,-0.0132,0.029,0.1242,4.2,11,2080
AEP261016P00130000,AEP,2026-10-16,22,P,130.0,10.13,118.0475,10.0,13.1,11.55,9.0,26.8,0.0,-0.9887,0.0139,-0.0234,0.0068,,,0,0
AEP261016C00135000,AEP,2026-10-16,22,C,135.0,14.36,118.0475,0.0,0.3,0.05,0.05,,0.3051,0.0279,0.008,-0.0109,0.0195,0.1492,3.6,4,184
AEP261016P00135000,AEP,2026-10-16,22,P,135.0,14.36,118.0475,15.0,18.8,16.9,0.0,22.5,0.0,-0.9974,0.0036,-0.0298,0.0013,,,0,0
AEP261016C00140000,AEP,2026-10-16,22,C,140.0,18.6,118.0475,0.0,0.35,0.08,0.08,,0.3817,0.0197,0.005,-0.0095,0.0145,0.1741,3.3,0,19
AEP261016P00140000,AEP,2026-10-16,22,P,140.0,18.6,118.0475,20.9,23.8,22.35,0.0,13.0,0.4963,-0.9994,0.0007,-0.033,0.0,22.214,92.5,0,0
AEP261016C00145000,AEP,2026-10-16,22,C,145.0,22.83,118.0475,0.0,0.6,0.01,0.01,,0.4912,0.0146,0.0034,-0.0083,0.0112,0.2983,4.0,0,3
AEP261016P00145000,AEP,2026-10-16,22,P,145.0,22.83,118.0475,25.1,28.9,27.0,0.0,14.1,0.4453,-1.0,0.0,-0.0352,0.0,26.7787,97.2,0,0
AEP261120C00090000,AEP,2026-11-20,57,C,90.0,-23.76,118.0475,26.7,30.7,28.7,0.0,13.9,0.3704,0.963,0.0043,-0.0028,0.0366,28.7756,96.6,0,0
AEP261120P00090000,AEP,2026-11-20,57,P,90.0,-23.76,118.0475,0.0,0.8,0.23,0.23,,0.4272,-0.0475,0.005,-0.0168,0.0466,0.3623,5.9,0,22
AEP261120C00095000,AEP,2026-11-20,57,C,95.0,-19.52,118.0475,21.6,25.2,23.4,32.03,15.4,0.0,0.9541,0.006,-0.0051,0.0457,,,0,10
AEP261120P00095000,AEP,2026-11-20,57,P,95.0,-19.52,118.0475,0.05,0.85,0.45,0.3,177.8,0.3656,-0.0593,0.007,-0.017,0.0558,0.4008,7.0,0,1
AEP261120C00100000,AEP,2026-11-20,57,C,100.0,-15.29,118.0475,17.1,20.7,18.9,26.6,19.0,0.2857,0.9382,0.009,-0.0081,0.0554,19.0083,92.9,0,1
AEP261120P00100000,AEP,2026-11-20,57,P,100.0,-15.29,118.0475,0.05,0.95,0.5,0.32,180.0,0.303,-0.0792,0.0104,-0.018,0.0698,0.4367,8.4,0,69
AEP261120C00105000,AEP,2026-11-20,57,C,105.0,-11.05,118.0475,13.2,15.1,14.15,28.7,13.4,0.2538,0.9049,0.0149,-0.0128,0.0763,14.2878,88.1,0,5
AEP261120P00105000,AEP,2026-11-20,57,P,105.0,-11.05,118.0475,0.65,0.8,0.725,0.64,20.7,0.2586,-0.1194,0.0166,-0.0205,0.094,0.6263,12.4,0,50
AEP261120C00110000,AEP,2026-11-20,57,C,110.0,-6.82,118.0475,9.0,9.9,9.45,14.5,9.5,0.2082,0.822,0.0257,-0.0216,0.1182,9.6135,81.4,0,18
AEP261120P00110000,AEP,2026-11-20,57,P,110.0,-6.82,118.0475,1.3,1.4,1.35,1.4,7.4,0.2317,-0.2117,0.0273,-0.0265,0.1353,1.1652,21.4,5,170
AEP261120C00115000,AEP,2026-11-20,57,C,115.0,-2.58,118.0475,5.6,6.2,5.9,6.0,10.2,0.2153,0.6661,0.0381,-0.031,0.1678,6.1058,63.2,0,2
AEP261120P00115000,AEP,2026-11-20,57,P,115.0,-2.58,118.0475,2.65,2.8,2.725,2.65,5.5,0.2172,-0.3717,0.038,-0.0323,0.1752,2.3746,36.9,8,287
