contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
AMZN261009C00195000,AMZN,2026-10-09,15,C,195.0,-21.83,249.44500732421875,53.65,56.8,55.225,61.28,5.7,0.7334011035156249,0.95921,0.00236,-0.12838,0.04427,55.4126,94.4,0,1
AMZN261009C00200000,AMZN,2026-10-09,15,C,200.0,-19.82,249.44500732421875,48.85,51.55,50.2,46.5,5.4,0.6669955175781253,0.9567,0.00272,-0.12394,0.04647,50.4012,94.3,10,7
AMZN261009C00205000,AMZN,2026-10-09,15,C,205.0,-17.82,249.44500732421875,43.45,46.5,44.975,44.68,6.8,0.5627485131835939,0.9634,0.00282,-0.09742,0.04054,45.2144,95.3,10,47
AMZN261009C00210000,AMZN,2026-10-09,15,C,210.0,-15.81,249.44500732421875,38.9,41.25,40.075,39.55,5.9,0.524418818359375,0.95427,0.00362,-0.10655,0.04856,40.3099,94.3,16,1
AMZN261009C00215000,AMZN,2026-10-09,15,C,215.0,-13.81,249.44500732421875,33.95,36.75,35.35,34.55,7.9,0.5075732836914062,0.93468,0.00496,-0.13054,0.06436,35.5611,92.1,2,30
AMZN261009C00220000,AMZN,2026-10-09,15,C,220.0,-11.8,249.44500732421875,29.15,31.25,30.2,28.91,7.0,0.5427291821289064,0.88717,0.00698,-0.19598,0.09683,31.3829,86.5,4,76
AMZN261009C00225000,AMZN,2026-10-09,15,C,225.0,-9.8,249.44500732421875,24.2,26.45,25.325,25.2,8.9,0.4901174035644532,0.86526,0.00875,-0.19987,0.10965,26.5773,84.3,5,29
AMZN261009C00230000,AMZN,2026-10-09,15,C,230.0,-7.8,249.44500732421875,20.0,21.25,20.625,20.46,6.1,0.40259386474609377,0.85437,0.01123,-0.17613,0.11559,21.4047,83.5,5,1076
AMZN261009C00235000,AMZN,2026-10-09,15,C,235.0,-5.79,249.44500732421875,15.75,16.4,16.075,15.8,4.0,0.3413151806640625,0.82134,0.01513,-0.17089,0.13207,16.5553,80.3,3,41
AMZN261009C00240000,AMZN,2026-10-09,15,C,240.0,-3.79,249.44500732421875,11.8,12.85,12.325,11.34,8.5,0.3502262243652343,0.72652,0.01879,-0.21488,0.16827,12.927,70.2,891,850
AMZN261009C00242500,AMZN,2026-10-09,15,C,242.5,-2.78,249.44500732421875,10.05,11.15,10.6,9.25,10.4,0.3479069116210937,0.67686,0.02041,-0.22784,0.18157,11.1965,65.1,39,51
AMZN261009C00245000,AMZN,2026-10-09,15,C,245.0,-1.78,249.44500732421875,8.5,8.8,8.65,8.8,3.5,0.30664755859375,0.63562,0.02423,-0.21058,0.18996,8.8514,61.2,492,449
AMZN261009C00247500,AMZN,2026-10-09,15,C,247.5,-0.78,249.44500732421875,7.05,7.25,7.15,7.11,2.8,0.3001778967285156,0.57381,0.02583,-0.21328,0.19827,7.2748,55.0,279,179
AMZN261009C00250000,AMZN,2026-10-09,15,C,250.0,0.22,249.44500732421875,5.75,5.95,5.85,5.75,3.4,0.29834686035156244,0.50825,0.02644,-0.21382,0.20169,5.9477,48.4,1306,1131
AMZN261009C00252500,AMZN,2026-10-09,15,C,252.5,1.22,249.44500732421875,4.6,4.8,4.7,4.73,4.3,0.29614961669921874,0.44221,0.02636,-0.20862,0.19962,4.7771,41.9,471,481
AMZN261009C00255000,AMZN,2026-10-09,15,C,255.0,2.23,249.44500732421875,3.65,3.8,3.725,3.72,4.0,0.29358616577148433,0.37726,0.02559,-0.1979,0.19211,3.762,35.5,321,1134
AMZN261009C00257500,AMZN,2026-10-09,15,C,257.5,3.23,249.44500732421875,2.88,2.95,2.915,2.95,2.4,0.29090064575195307,0.31506,0.02415,-0.1825,0.17965,2.9026,29.4,121,392
AMZN261009C00260000,AMZN,2026-10-09,15,C,260.0,4.23,249.44500732421875,2.26,2.28,2.27,2.28,0.9,0.2902903002929687,0.25885,0.02205,-0.16519,0.16365,2.2262,24.0,1662,2890
AMZN261009C00262500,AMZN,2026-10-09,15,C,262.5,5.23,249.44500732421875,1.73,1.83,1.78,1.73,5.6,0.2960275476074219,0.21399,0.01947,-0.15105,0.14735,1.7714,19.7,236,367
AMZN261009C00265000,AMZN,2026-10-09,15,C,265.0,6.24,249.44500732421875,1.31,1.39,1.35,1.38,5.9,0.29614961669921874,0.17101,0.01696,-0.13133,0.12845,1.3337,15.6,946,1415
AMZN261009C00267500,AMZN,2026-10-09,15,C,267.5,7.24,249.44500732421875,1.05,1.07,1.06,1.05,1.9,0.2985909985351562,0.13631,0.01447,-0.11362,0.11052,1.0151,12.4,464,439
AMZN261009C00270000,AMZN,2026-10-09,15,C,270.0,8.24,249.44500732421875,0.77,0.8,0.785,0.8,3.8,0.29932341308593746,0.1061,0.0121,-0.09526,0.09265,0.7505,9.5,396,1999
AMZN261009C00272500,AMZN,2026-10-09,15,C,272.5,9.24,249.44500732421875,0.62,0.64,0.63,0.62,3.2,0.30591514404296877,0.08567,0.01012,-0.08299,0.07915,0.5936,7.6,316,305
AMZN261009C00275000,AMZN,2026-10-09,15,C,275.0,10.24,249.44500732421875,0.48,0.5,0.49,0.47,4.1,0.3107979077148437,0.06806,0.00836,-0.07064,0.06644,0.4594,6.0,112,1886
AMZN261009C00277500,AMZN,2026-10-09,15,C,277.5,11.25,249.44500732421875,0.37,0.4,0.385,0.37,7.8,0.31690136230468746,0.05465,0.00691,-0.06058,0.05597,0.3624,4.8,30,200
AMZN261009C00280000,AMZN,2026-10-09,15,C,280.0,12.25,249.44500732421875,0.29,0.31,0.3,0.29,6.7,0.3210517114257812,0.04293,0.00562,-0.05053,0.04615,0.2777,3.7,326,1795
AMZN261009C00285000,AMZN,2026-10-09,15,C,285.0,14.25,249.44500732421875,0.17,0.19,0.18,0.19,11.1,0.33008482421874996,0.0266,0.00369,-0.03496,0.03113,0.1653,2.3,92,2923
AMZN261009C00290000,AMZN,2026-10-09,15,C,290.0,16.26,249.44500732421875,0.11,0.12,0.115,0.11,8.7,0.340826904296875,0.01692,0.00244,-0.02458,0.02123,0.1026,1.4,374,1204
AMZN261009C00295000,AMZN,2026-10-09,15,C,295.0,18.26,249.44500732421875,0.07,0.08,0.075,0.08,13.3,0.352545537109375,0.01106,0.00163,-0.01759,0.01472,0.0661,0.9,8,1050
AMZN261009C00300000,AMZN,2026-10-09,15,C,300.0,20.27,249.44500732421875,0.05,0.06,0.055,0.06,18.2,0.36914693359375,0.00805,0.00118,-0.01393,0.01114,0.0487,0.7,58,7205
AMZN261009C00305000,AMZN,2026-10-09,15,C,305.0,22.27,249.44500732421875,0.03,0.05,0.04,0.05,50.0,0.38867798828125,0.00636,0.00091,-0.0119,0.00905,0.0395,0.5,10,215
AMZN261009C00310000,AMZN,2026-10-09,15,C,310.0,24.28,249.44500732421875,0.02,0.06,0.04,0.04,100.0,0.42578699218750005,0.00703,0.00091,-0.01423,0.00989,0.0482,0.6,3,130
AMZN261009P00190000,AMZN,2026-10-09,15,P,190.0,-23.83,249.44500732421875,0.04,0.11,0.075,0.04,93.3,0.5488326367187502,-0.00592,0.00061,-0.01537,0.00849,0.0546,0.8,1,98
AMZN261009P00195000,AMZN,2026-10-09,15,P,195.0,-21.83,249.44500732421875,0.03,0.09,0.06,0.07,100.0,0.5136767382812499,-0.0075,0.0008,-0.01771,0.01047,0.0661,1.0,2,61
AMZN261009P00200000,AMZN,2026-10-09,15,P,200.0,-19.82,249.44500732421875,0.07,0.1,0.085,0.1,35.3,0.47363807617187503,-0.00899,0.00101,-0.01913,0.01228,0.0744,1.2,1172,190
