contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
BSY261016C00025000,BSY,2026-10-16,22,C,25.0,-21.69,31.925,5.9,9.1,7.5,7.2,42.7,0.9267,0.9554,0.0196,-0.008,0.0077,7.4367,83.4,0,1
BSY261016P00025000,BSY,2026-10-16,22,P,25.0,-21.69,31.925,0.0,0.75,0.14,0.14,,0.8772,-0.0466,0.0197,-0.0105,0.0077,0.3785,14.9,0,2
BSY261016C00030000,BSY,2026-10-16,22,C,30.0,-6.03,31.925,2.5,2.7,2.6,2.8,7.7,0.433,0.7412,0.0894,-0.0258,0.0256,2.5441,71.0,0,5
BSY261016P00030000,BSY,2026-10-16,22,P,30.0,-6.03,31.925,0.45,0.9,0.675,0.54,66.7,0.4872,-0.263,0.0904,-0.0268,0.0257,0.6859,31.6,2,447
BSY261016C00035000,BSY,2026-10-16,22,C,35.0,9.63,31.925,0.2,0.65,0.425,0.36,105.9,0.4378,0.2464,0.0846,-0.0263,0.0249,0.4064,18.8,2,142
BSY261016P00035000,BSY,2026-10-16,22,P,35.0,9.63,31.925,1.3,4.4,2.85,2.18,108.8,0.0,-0.7666,0.0874,-0.0262,0.024,,,0,5
BSY261120C00025000,BSY,2026-11-20,57,C,25.0,-21.69,31.925,7.0,9.4,8.2,9.75,29.3,0.7638,0.8954,0.0256,-0.0088,0.0238,8.0417,75.2,0,15
BSY261120P00025000,BSY,2026-11-20,57,P,25.0,-21.69,31.925,0.3,2.45,1.375,0.35,156.4,0.8985,-0.1106,0.0259,-0.0119,0.024,1.4012,29.9,0,10
BSY261120C00030000,BSY,2026-11-20,57,C,30.0,-6.03,31.925,2.75,5.6,4.175,3.43,68.3,0.5904,0.6942,0.0604,-0.0167,0.0448,4.0445,57.0,0,25
BSY261120P00030000,BSY,2026-11-20,57,P,30.0,-6.03,31.925,1.05,1.6,1.325,0.78,41.5,0.4671,-0.3159,0.0618,-0.018,0.045,1.3678,39.0,2,34
BSY261120C00035000,BSY,2026-11-20,57,C,35.0,9.63,31.925,0.85,1.4,1.125,1.5,48.9,0.4183,0.3661,0.0653,-0.0185,0.0477,1.0565,27.4,2,504
BSY261120P00035000,BSY,2026-11-20,57,P,35.0,9.63,31.925,2.25,4.8,3.525,3.78,72.3,0.3402,-0.6557,0.0687,-0.0184,0.0464,3.5667,76.0,2,494
BSY270115C00025000,BSY,2027-01-15,113,C,25.0,-21.69,31.925,7.5,10.3,8.9,8.15,31.5,0.6832,0.8469,0.0248,-0.0086,0.0429,8.8052,68.6,0,53
BSY270115P00025000,BSY,2027-01-15,113,P,25.0,-21.69,31.925,0.35,2.9,1.625,0.78,156.9,0.697,-0.1592,0.0252,-0.0102,0.0431,1.64,32.0,0,18
BSY270115C00030000,BSY,2027-01-15,113,C,30.0,-6.03,31.925,3.6,6.1,4.85,4.4,51.5,0.5141,0.6711,0.0442,-0.0124,0.0647,4.7649,54.7,0,34
BSY270115P00030000,BSY,2027-01-15,113,P,30.0,-6.03,31.925,1.15,3.4,2.275,2.5,98.9,0.4869,-0.3391,0.0452,-0.0132,0.0649,2.2932,44.4,0,66
BSY270115C00035000,BSY,2027-01-15,113,C,35.0,9.63,31.925,0.9,3.2,2.05,2.2,112.2,0.4266,0.4288,0.0507,-0.0131,0.0699,1.9927,32.5,0,251
BSY270115P00035000,BSY,2027-01-15,113,P,35.0,9.63,31.925,2.5,5.6,4.05,3.1,76.5,0.3391,-0.5901,0.053,-0.0132,0.0687,4.0392,69.7,0,65
BSY270219C00025000,BSY,2027-02-19,148,C,25.0,-21.69,31.925,7.6,10.1,8.85,13.35,28.2,0.5715,0.8293,0.0232,-0.0083,0.0526,8.7308,70.4,0,1
BSY270219P00025000,BSY,2027-02-19,148,P,25.0,-21.69,31.925,1.1,1.5,1.3,1.95,30.8,0.5558,-0.1779,0.0237,-0.0097,0.0531,1.3191,28.8,0,1
BSY270219C00030000,BSY,2027-02-19,148,C,30.0,-6.03,31.925,4.6,5.5,5.05,4.4,17.8,0.465,0.6697,0.0382,-0.011,0.0742,4.9446,54.6,0,4
BSY270219P00030000,BSY,2027-02-19,148,P,30.0,-6.03,31.925,2.4,3.1,2.75,2.6,25.5,0.4965,-0.3424,0.0394,-0.0118,0.0745,2.7719,46.4,0,25
BSY270219C00035000,BSY,2027-02-19,148,C,35.0,9.63,31.925,2.4,2.7,2.55,2.8,11.8,0.4277,0.4565,0.0453,-0.0114,0.0808,2.4752,33.9,0,47
BSY270219P00035000,BSY,2027-02-19,148,P,35.0,9.63,31.925,4.9,5.3,5.1,5.5,7.8,0.4413,-0.5661,0.0479,-0.0117,0.0794,5.0964,65.9,0,38
