contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
CB261016C00255000,CB,2026-10-16,22,C,255.0,-24.19,336.3701,80.2,84.5,82.35,0.0,5.2,0.4622,0.9996,0.0001,0.0,0.0022,82.0589,99.2,0,0
CB261016P00255000,CB,2026-10-16,22,P,255.0,-24.19,336.3701,0.0,2.15,,0.0,,0.6991,-0.0007,0.0001,-0.0014,0.0022,1.09,6.2,0,0
CB261016C00260000,CB,2026-10-16,22,C,260.0,-22.7,336.3701,75.2,79.3,77.25,0.0,5.3,0.0,0.9993,0.0001,0.0,0.0031,,,0,0
CB261016P00260000,CB,2026-10-16,22,P,260.0,-22.7,336.3701,0.0,2.15,,0.0,,0.659,-0.001,0.0001,-0.002,0.0031,1.0907,6.4,0,0
CB261016C00265000,CB,2026-10-16,22,C,265.0,-21.22,336.3701,70.2,74.2,72.2,0.0,5.5,0.0,0.9988,0.0002,0.0,0.0044,,,0,0
CB261016P00265000,CB,2026-10-16,22,P,265.0,-21.22,336.3701,0.0,2.15,,0.0,,0.6193,-0.0015,0.0002,-0.0027,0.0044,1.0909,6.6,0,0
CB261016C00270000,CB,2026-10-16,22,C,270.0,-19.73,336.3701,65.2,69.2,67.2,0.0,6.0,0.0,0.9981,0.0003,0.0,0.0062,,,0,0
CB261016P00270000,CB,2026-10-16,22,P,270.0,-19.73,336.3701,0.0,2.15,,0.0,,0.5801,-0.0022,0.0003,-0.0038,0.0062,1.0917,6.8,0,0
CB261016C00275000,CB,2026-10-16,22,C,275.0,-18.24,336.3701,60.2,63.8,62.0,0.0,5.8,0.0,0.997,0.0004,0.0,0.0089,,,0,0
CB261016P00275000,CB,2026-10-16,22,P,275.0,-18.24,336.3701,0.0,2.15,0.35,0.35,,0.5412,-0.0033,0.0004,-0.0052,0.009,1.0918,7.1,0,1
CB261016C00280000,CB,2026-10-16,22,C,280.0,-16.76,336.3701,56.0,59.3,57.65,0.0,5.7,0.3936,0.9954,0.0006,0.0,0.0127,57.3524,97.0,0,0
CB261016P00280000,CB,2026-10-16,22,P,280.0,-16.76,336.3701,0.0,2.15,,0.0,,0.5026,-0.005,0.0006,-0.0073,0.0128,1.0918,7.4,0,0
CB261016C00285000,CB,2026-10-16,22,C,285.0,-15.27,336.3701,50.3,54.4,52.35,0.0,7.8,0.0,0.9929,0.0009,0.0,0.0182,,,0,0
CB261016P00285000,CB,2026-10-16,22,P,285.0,-15.27,336.3701,0.0,0.2,0.12,0.12,,0.3073,-0.0075,0.0009,-0.0102,0.0183,0.105,1.4,0,222
CB261016C00290000,CB,2026-10-16,22,C,290.0,-13.79,336.3701,45.3,49.3,47.3,0.0,8.5,0.0,0.989,0.0013,0.0,0.026,,,0,0
CB261016P00290000,CB,2026-10-16,22,P,290.0,-13.79,336.3701,0.0,2.2,0.57,0.57,,0.4286,-0.0114,0.0013,-0.0142,0.0261,1.1187,8.4,0,27
CB261016C00295000,CB,2026-10-16,22,C,295.0,-12.3,336.3701,40.4,44.5,42.45,0.0,9.7,0.232,0.9831,0.002,-0.0049,0.0372,42.1377,99.0,0,0
CB261016P00295000,CB,2026-10-16,22,P,295.0,-12.3,336.3701,0.0,2.2,0.68,0.68,,0.3905,-0.0174,0.002,-0.0198,0.0374,1.1197,8.9,0,17
CB261016C00300000,CB,2026-10-16,22,C,300.0,-10.81,336.3701,35.5,39.5,37.5,38.38,10.7,0.2206,0.974,0.0029,-0.0142,0.0531,37.1872,98.3,0,17
CB261016P00300000,CB,2026-10-16,22,P,300.0,-10.81,336.3701,0.0,1.7,0.77,0.77,,0.331,-0.0266,0.003,-0.0275,0.0534,0.8689,8.1,0,7
CB261016C00305000,CB,2026-10-16,22,C,305.0,-9.33,336.3701,31.7,34.3,33.0,0.0,7.9,0.2693,0.9598,0.0044,-0.0262,0.0752,32.7003,93.1,0,0
CB261016P00305000,CB,2026-10-16,22,P,305.0,-9.33,336.3701,0.1,0.9,0.5,0.39,160.0,0.2608,-0.041,0.0044,-0.038,0.0756,0.5146,6.2,0,61
CB261016C00310000,CB,2026-10-16,22,C,310.0,-7.84,336.3701,26.8,28.9,27.85,29.4,7.5,0.2179,0.9379,0.0065,-0.0415,0.1052,27.5456,93.9,0,6
CB261016P00310000,CB,2026-10-16,22,P,310.0,-7.84,336.3701,0.4,0.7,0.55,0.57,54.5,0.2318,-0.0632,0.0066,-0.0517,0.1058,0.5667,7.4,1,42
CB261016C00315000,CB,2026-10-16,22,C,315.0,-6.35,336.3701,22.2,24.6,23.4,0.0,10.3,0.2274,0.9047,0.0094,-0.0603,0.1443,23.1078,88.3,0,0
CB261016P00315000,CB,2026-10-16,22,P,315.0,-6.35,336.3701,0.7,1.3,1.0,1.0,60.0,0.2304,-0.0969,0.0095,-0.0691,0.1462,1.025,12.0,0,376
CB261016C00320000,CB,2026-10-16,22,C,320.0,-4.87,336.3701,18.0,19.6,18.8,22.53,8.5,0.2105,0.8553,0.0131,-0.0822,0.1921,18.5192,83.8,0,2
CB261016P00320000,CB,2026-10-16,22,P,320.0,-4.87,336.3701,1.15,1.5,1.325,1.35,26.4,0.2093,-0.1472,0.0134,-0.0898,0.1937,1.3555,16.1,5,150
CB261016C00325000,CB,2026-10-16,22,C,325.0,-3.38,336.3701,13.7,15.6,14.65,13.67,13.0,0.2044,0.7846,0.0176,-0.1053,0.2446,14.3895,76.1,0,3
CB261016P00325000,CB,2026-10-16,22,P,325.0,-3.38,336.3701,1.9,2.25,2.075,2.06,16.9,0.1995,-0.2192,0.0179,-0.1117,0.247,2.1164,23.4,15,1674
CB261016C00330000,CB,2026-10-16,22,C,330.0,-1.89,336.3701,10.3,11.3,10.8,16.2,9.3,0.1949,0.6897,0.022,-0.1256,0.2933,10.5667,66.5,0,3
CB261016P00330000,CB,2026-10-16,22,P,330.0,-1.89,336.3701,3.1,3.5,3.3,3.4,12.1,0.1931,-0.3164,0.0225,-0.1311,0.2946,3.3489,33.3,18,97
CB261016C00335000,CB,2026-10-16,22,C,335.0,-0.41,336.3701,7.0,7.7,7.35,7.75,9.5,0.1828,0.5733,0.025,-0.1378,0.3246,7.1535,54.9,0,88
CB261016P00335000,CB,2026-10-16,22,P,335.0,-0.41,336.3701,4.8,5.4,5.1,5.3,11.8,0.1882,-0.436,0.0258,-0.1425,0.3248,5.1522,45.3,17,1588
CB261016C00340000,CB,2026-10-16,22,C,340.0,1.08,336.3701,4.5,5.2,4.85,4.8,14.4,0.1813,0.446,0.0256,-0.1375,0.3271,4.6964,41.7,3,401
CB261016P00340000,CB,2026-10-16,22,P,340.0,1.08,336.3701,7.3,7.9,7.6,8.0,7.9,0.1853,-0.5677,0.0266,-0.1418,0.3229,7.6376,58.1,0,284
CB261016C00345000,CB,2026-10-16,22,C,345.0,2.57,336.3701,2.85,3.3,3.075,3.15,14.6,0.1826,0.3244,0.0234,-0.1247,0.2988,2.9638,29.7,25,1778
CB261016P00345000,CB,2026-10-16,22,P,345.0,2.57,336.3701,10.5,11.6,11.05,9.5,10.0,0.1926,-0.6949,0.0247,-0.1288,0.2891,11.0573,69.4,0,199
CB261016C00350000,CB,2026-10-16,22,C,350.0,4.05,336.3701,1.65,2.15,1.9,1.75,26.3,0.186,0.2225,0.0192,-0.1037,0.2494,1.825,20.0,188,286
CB261016P00350000,CB,2026-10-16,22,P,350.0,4.05,336.3701,14.2,15.5,14.85,11.74,8.8,0.1934,-0.8029,0.0207,-0.1073,0.2306,14.7922,79.1,0,57
CB261016C00355000,CB,2026-10-16,22,C,355.0,5.54,336.3701,1.0,1.35,1.175,1.13,29.8,0.1916,0.1463,0.0145,-0.0805,0.194,1.1255,13.2,43,1878
