contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
PTC261016C00105000,PTC,2026-10-16,22,C,105.0,-23.62,137.46499633789062,35.4,38.8,37.1,26.8,9.2,1.3230014318847654,0.84117,0.00542,-0.25433,0.08172,37.0717,75.0,1,1
PTC261016C00110000,PTC,2026-10-16,22,C,110.0,-19.98,137.46499633789062,0.0,0.0,46.15,46.15,,1.0000000000000003e-05,1.0,0.0,-0.01203,0.0,27.7299,100.0,2,0
PTC261016C00115000,PTC,2026-10-16,22,C,115.0,-16.34,137.46499633789062,21.9,24.6,23.25,42.51,11.6,0.55273884765625,0.91932,0.00802,-0.07471,0.05049,23.4642,89.7,1,0
PTC261016C00120000,PTC,2026-10-16,22,C,120.0,-12.71,137.46499633789062,17.4,20.1,18.75,13.8,14.4,0.523442265625,0.87293,0.01179,-0.09467,0.07027,18.9381,84.4,4,10
PTC261016C00125000,PTC,2026-10-16,22,C,125.0,-9.07,137.46499633789062,17.4,20.8,19.1,12.5,17.8,0.905396453857422,0.70871,0.01123,-0.24679,0.11576,19.0752,62.8,1,2
PTC261016C00130000,PTC,2026-10-16,22,C,130.0,-5.43,137.46499633789062,9.6,11.8,10.7,9.6,20.6,0.5611616149902343,0.68852,0.01867,-0.16124,0.11931,11.8696,63.8,6,11
PTC261016C00135000,PTC,2026-10-16,22,C,135.0,-1.79,137.46499633789062,6.4,9.4,7.9,5.99,38.0,0.5963175134277343,0.58444,0.01938,-0.18614,0.13161,9.4128,52.7,2,12
PTC261016C00140000,PTC,2026-10-16,22,C,140.0,1.84,137.46499633789062,4.2,7.0,5.6,6.79,50.0,0.5922892333984376,0.48549,0.01994,-0.18767,0.13455,6.9798,42.8,1,45
PTC261016C00145000,PTC,2026-10-16,22,C,145.0,5.48,137.46499633789062,2.45,3.9,3.175,3.72,45.7,0.49878430908203125,0.36134,0.02225,-0.14833,0.12642,3.8807,31.7,2,34
PTC261016C00150000,PTC,2026-10-16,22,C,150.0,9.12,137.46499633789062,1.5,2.55,2.025,2.05,51.9,0.49695327270507816,0.26288,0.01945,-0.12802,0.11009,2.5166,22.5,120,122
PTC261016C00155000,PTC,2026-10-16,22,C,155.0,12.76,137.46499633789062,0.6,3.3,1.95,1.36,138.5,0.5317429638671876,0.20161,0.01568,-0.11756,0.09494,1.9049,16.7,10,13
PTC261016C00160000,PTC,2026-10-16,22,C,160.0,16.39,137.46499633789062,0.4,1.4,0.9,0.9,111.1,0.5500533276367189,0.14946,0.01253,-0.10024,0.0785,1.3537,12.0,119,139
PTC261016C00165000,PTC,2026-10-16,22,C,165.0,20.03,137.46499633789062,0.1,2.85,1.475,1.6,186.4,0.6323278955078125,0.13942,0.0104,-0.10959,0.07491,1.4168,10.8,1,10
PTC261016C00170000,PTC,2026-10-16,22,C,170.0,23.67,137.46499633789062,0.05,2.6,1.325,1.0,192.5,0.6796907031250001,0.11997,0.00872,-0.10594,0.0675,1.2629,9.0,1,11
PTC261016P00105000,PTC,2026-10-16,22,P,105.0,-23.62,137.46499633789062,0.0,0.0,0.9,0.9,,0.2500075,-0.0,0.0,-0.0,1e-05,0.0,0.0,5,0
PTC261016P00110000,PTC,2026-10-16,22,P,110.0,-19.98,137.46499633789062,0.0,1.15,1.09,1.09,,0.6015664843750002,-0.05487,0.00547,-0.05035,0.03747,0.5005,7.3,20,34
PTC261016P00115000,PTC,2026-10-16,22,P,115.0,-16.34,137.46499633789062,0.0,2.65,0.52,0.52,,0.6350134155273439,-0.10786,0.00865,-0.08855,0.06257,1.1891,14.0,5,29
PTC261016P00120000,PTC,2026-10-16,22,P,120.0,-12.71,137.46499633789062,0.25,3.1,1.675,0.78,170.1,0.5686078295898438,-0.14448,0.01185,-0.09682,0.07673,1.5165,17.9,5,34
PTC261016P00125000,PTC,2026-10-16,22,P,125.0,-9.07,137.46499633789062,0.55,3.5,2.025,1.7,145.7,0.6306189282226562,-0.2398,0.0146,-0.14633,0.10487,3.2524,29.0,1,30
PTC261016P00130000,PTC,2026-10-16,22,P,130.0,-5.43,137.46499633789062,1.05,3.6,2.325,2.57,109.7,0.4982960327148438,-0.29554,0.02053,-0.12716,0.11654,3.3497,33.9,50,60
PTC261016P00135000,PTC,2026-10-16,22,P,135.0,-1.79,137.46499633789062,4.3,5.7,5.0,4.1,28.0,0.5022022436523439,-0.40984,0.02293,-0.14297,0.13118,5.3858,45.8,5,93
PTC261016P00140000,PTC,2026-10-16,22,P,140.0,1.84,137.46499633789062,5.7,8.0,6.85,5.8,33.6,0.47803256347656253,-0.53048,0.02466,-0.13702,0.13424,7.6419,57.7,1,119
PTC261016P00145000,PTC,2026-10-16,22,P,145.0,5.48,137.46499633789062,9.4,11.3,10.35,16.0,18.4,0.48560084716796875,-0.64348,0.02275,-0.12799,0.12583,10.9002,68.7,1,12
PTC261016P00150000,PTC,2026-10-16,22,P,150.0,9.12,137.46499633789062,13.4,15.4,14.4,16.16,13.9,0.5217332983398437,-0.72522,0.01894,-0.12091,0.11257,14.9664,76.6,2,6
PTC261016P00155000,PTC,2026-10-16,22,P,155.0,12.76,137.46499633789062,17.7,19.7,18.7,9.13,10.7,0.5501753967285157,-0.78914,0.01556,-0.10791,0.0975,19.2441,82.6,1,1
PTC261016P00170000,PTC,2026-10-16,22,P,170.0,23.67,137.46499633789062,30.9,34.5,32.7,26.1,11.0,0.7592797509765626,-0.8493,0.00913,-0.11969,0.07893,33.9726,88.9,1,2
PTC261120C00110000,PTC,2026-11-20,57,C,110.0,-19.98,137.46499633789062,31.9,35.5,33.7,34.48,10.7,0.8449722534179687,0.80322,0.00604,-0.11999,0.1506,34.0895,69.8,1,1
PTC261120C00115000,PTC,2026-11-20,57,C,115.0,-16.34,137.46499633789062,24.6,27.2,25.9,28.7,10.0,0.5666547241210937,0.82555,0.00836,-0.07901,0.13975,26.3983,76.2,1,11
PTC261120C00120000,PTC,2026-11-20,57,C,120.0,-12.71,137.46499633789062,20.9,22.4,21.65,21.8,6.9,0.5275926147460939,0.78404,0.01022,-0.08303,0.15914,22.1341,71.8,3,34
PTC261120C00125000,PTC,2026-11-20,57,C,125.0,-9.07,137.46499633789062,31.7,35.1,33.4,9.3,10.2,1.2959629928588865,0.67504,0.00511,-0.22874,0.19551,33.5692,47.7,30,131
PTC261120C00130000,PTC,2026-11-20,57,C,130.0,-5.43,137.46499633789062,14.4,15.5,14.95,14.7,7.4,0.5103808728027344,0.6586,0.01324,-0.09749,0.19936,15.3485,58.2,4,176
PTC261120C00135000,PTC,2026-11-20,57,C,135.0,-1.79,137.46499633789062,11.4,12.7,12.05,13.2,10.8,0.5292405474853517,0.58744,0.01354,-0.1056,0.21149,13.0401,50.5,2,105
PTC261120C00140000,PTC,2026-11-20,57,C,140.0,1.84,137.46499633789062,9.1,10.2,9.65,10.4,11.4,0.5194139855957032,0.51756,0.01413,-0.10529,0.21651,10.4926,43.6,2,75
PTC261120C00145000,PTC,2026-11-20,57,C,145.0,5.48,137.46499633789062,7.2,9.1,8.15,9.5,23.3,0.5149584637451172,0.44837,0.01414,-0.10291,0.2149,8.3969,36.9,19,27
PTC261120C00150000,PTC,2026-11-20,57,C,150.0,9.12,137.46499633789062,5.5,7.2,6.35,7.02,26.8,0.5071460418701172,0.38054,0.01383,-0.09707,0.20693,6.5531,30.7,2,73
PTC261120C00155000,PTC,2026-11-20,57,C,155.0,12.76,137.46499633789062,4.2,6.4,5.3,5.52,41.5,0.5224046783447265,0.32705,0.01272,-0.09415,0.19602,5.465,25.6,2,20
PTC261120C00160000,PTC,2026-11-20,57,C,160.0,16.39,137.46499633789062,2.15,5.2,3.675,3.65,83.0,0.5778850805664062,0.30042,0.01108,-0.09975,0.189,5.3373,22.6,3,42
PTC261120C00165000,PTC,2026-11-20,57,C,165.0,20.03,137.46499633789062,1.45,4.5,2.975,3.0,102.5,0.5040332800292968,0.21603,0.0107,-0.07329,0.15917,3.0759,16.2,10,36
PTC261120C00170000,PTC,2026-11-20,57,C,170.0,23.67,137.46499633789062,0.8,3.3,2.05,1.6,122.0,0.5731243859863282,0.21269,0.00933,-0.08213,0.15773,3.3877,15.3,1,4
PTC261120P00105000,PTC,2026-11-20,57,P,105.0,-23.62,137.46499633789062,0.05,1.85,0.95,1.35,189.5,0.5983926879882813,-0.09958,0.00538,-0.0482,0.09504,1.696,14.7,1,273
PTC261120P00110000,PTC,2026-11-20,57,P,110.0,-19.98,137.46499633789062,1.1,3.5,2.3,1.65,104.3,0.5609174768066407,-0.1262,0.0068,-0.05326,0.11257,2.1139,17.8,13,62
PTC261120P00115000,PTC,2026-11-20,57,P,115.0,-16.34,137.46499633789062,1.85,3.3,2.575,3.5,56.3,0.5029346582031251,-0.15183,0.0086,-0.05378,0.12769,2.3634,20.3,5,206
PTC261120P00120000,PTC,2026-11-20,57,P,120.0,-12.71,137.46499633789062,3.0,5.0,4.0,3.85,50.0,0.5142870837402342,-0.21159,0.01036,-0.06735,0.15725,3.7114,27.5,2,874
PTC261120P00125000,PTC,2026-11-20,57,P,125.0,-9.07,137.46499633789062,4.6,5.7,5.15,5.18,21.4,0.518681571044922,-0.27535,0.01185,-0.07779,0.18137,5.3315,34.8,4,183
PTC261120P00130000,PTC,2026-11-20,57,P,130.0,-5.43,137.46499633789062,6.1,7.5,6.8,6.87,20.6,0.5094653546142578,-0.34126,0.01326,-0.08316,0.19933,7.0557,41.8,2,87
PTC261120P00135000,PTC,2026-11-20,57,P,135.0,-1.79,137.46499633789062,7.5,10.0,8.75,8.0,28.6,0.5167284655761719,-0.41243,0.01387,-0.0886,0.21147,9.4698,49.3,1,5
PTC261120P00140000,PTC,2026-11-20,57,P,140.0,1.84,137.46499633789062,10.0,12.5,11.25,10.2,22.2,0.5072070764160157,-0.48396,0.01447,-0.08775,0.21654,11.8915,56.4,11,25
PTC261120P00145000,PTC,2026-11-20,57,P,145.0,5.48,137.46499633789062,13.5,15.6,14.55,14.0,14.4,0.5095263891601562,-0.55303,0.01429,-0.08604,0.2148,14.9122,63.1,3,57
PTC261120P00150000,PTC,2026-11-20,57,P,150.0,9.12,137.46499633789062,16.6,19.1,17.85,17.1,14.0,0.5159960510253907,-0.61615,0.01362,-0.08261,0.20747,18.3374,69.1,1,14
PTC261120P00155000,PTC,2026-11-20,57,P,155.0,12.76,137.46499633789062,19.5,22.4,20.95,11.4,13.8,0.4982960327148438,-0.68421,0.01314,-0.07177,0.19318,21.5655,75.1,2,5
PTC261120P00160000,PTC,2026-11-20,57,P,160.0,16.39,137.46499633789062,0.0,0.0,27.2,27.2,,1.0000000000000003e-05,-1.0,0.0,0.01743,0.0,21.5387,100.0,1,0
PTC261120P00165000,PTC,2026-11-20,57,P,165.0,20.03,137.46499633789062,0.0,0.0,26.5,26.5,,1.0000000000000003e-05,-1.0,0.0,0.01797,0.0,26.5075,100.0,1,0
PTC261120P00170000,PTC,2026-11-20,57,P,170.0,23.67,137.46499633789062,34.6,38.1,36.35,27.5,9.6,0.6032754516601564,-0.77206,0.00922,-0.07134,0.16412,35.3494,83.7,1,6
PTC270115C00105000,PTC,2027-01-15,113,C,105.0,-23.62,137.46499633789062,38.1,42.0,40.05,38.7,9.7,0.7399928344726561,0.81334,0.00474,-0.07499,0.2053,40.8837,68.4,1,3
PTC270115C00110000,PTC,2027-01-15,113,C,110.0,-19.98,137.46499633789062,31.2,33.6,32.4,26.95,7.4,0.5413864221191409,0.82424,0.00624,-0.05612,0.1977,33.3636,73.6,1,26
PTC270115C00115000,PTC,2027-01-15,113,C,115.0,-16.34,137.46499633789062,30.0,33.9,31.95,33.25,12.2,0.6674227593994142,0.75789,0.00612,-0.07838,0.23891,32.783,62.9,1,3
PTC270115C00120000,PTC,2027-01-15,113,C,120.0,-12.71,137.46499633789062,24.0,27.1,25.55,22.0,12.1,0.5351608984375,0.74112,0.00791,-0.06688,0.24754,26.4418,63.6,1,2251
PTC270115C00125000,PTC,2027-01-15,113,C,125.0,-9.07,137.46499633789062,20.3,23.8,22.05,32.12,15.9,0.51562984375,0.69775,0.00885,-0.06888,0.26684,22.9062,59.1,1,2220
PTC270115C00130000,PTC,2027-01-15,113,C,130.0,-5.43,137.46499633789062,17.9,20.1,19.0,21.43,11.6,0.5046436254882812,0.64927,0.0096,-0.07092,0.28352,19.8074,54.1,1,17
PTC270115C00135000,PTC,2027-01-15,113,C,135.0,-1.79,137.46499633789062,15.1,18.1,16.6,13.25,18.1,0.5072070764160157,0.59836,0.00997,-0.0735,0.29582,17.3452,48.7,1,13
PTC270115C00140000,PTC,2027-01-15,113,C,140.0,1.84,137.46499633789062,12.9,15.9,14.4,13.98,20.8,0.5076953527832031,0.54791,0.0102,-0.07465,0.30293,15.0833,43.6,1,35
PTC270115C00145000,PTC,2027-01-15,113,C,145.0,5.48,137.46499633789062,10.9,12.4,11.65,9.45,12.9,0.5067188000488281,0.49825,0.01029,-0.07449,0.30513,13.0227,38.7,1,17
PTC270115C00150000,PTC,2027-01-15,113,C,150.0,9.12,137.46499633789062,9.1,10.3,9.7,11.9,12.4,0.49481706359863287,0.44657,0.01045,-0.07175,0.3024,10.8627,34.1,12,542
PTC270115C00155000,PTC,2027-01-15,113,C,155.0,12.76,137.46499633789062,7.5,10.2,8.85,10.0,30.5,0.5427902166748049,0.41859,0.00941,-0.07689,0.29876,10.711,30.6,4,34
PTC270115C00160000,PTC,2027-01-15,113,C,160.0,16.39,137.46499633789062,5.9,8.8,7.35,8.3,39.5,0.5417526293945314,0.37759,0.00917,-0.07435,0.29066,9.26,27.0,1,16
PTC270115C00165000,PTC,2027-01-15,113,C,165.0,20.03,137.46499633789062,4.9,7.0,5.95,4.9,35.3,0.5200243310546875,0.32869,0.00909,-0.06777,0.27655,7.4044,23.2,1,5
PTC270115C00170000,PTC,2027-01-15,113,C,170.0,23.67,137.46499633789062,3.3,6.5,4.9,4.0,65.3,0.5401046966552736,0.30313,0.00846,-0.06767,0.26718,6.8679,20.7,2,5
PTC270115P00105000,PTC,2027-01-15,113,P,105.0,-23.62,137.46499633789062,0.0,0.0,2.3,2.3,,0.12500875,-2e-05,1e-05,-0.0,7e-05,0.0,0.0,1,0
PTC270115P00110000,PTC,2027-01-15,113,P,110.0,-19.98,137.46499633789062,2.4,5.1,3.75,4.84,72.0,0.5478560839843751,-0.17768,0.00621,-0.04507,0.19907,4.6731,26.8,1,1107
PTC270115P00115000,PTC,2027-01-15,113,P,115.0,-16.34,137.46499633789062,3.0,6.2,4.6,5.5,69.6,0.5288133056640626,-0.21312,0.00719,-0.04819,0.22235,5.6924,30.8,1,39
PTC270115P00120000,PTC,2027-01-15,113,P,120.0,-12.71,137.46499633789062,6.0,7.0,6.5,6.0,15.4,0.4910939562988281,-0.2485,0.00843,-0.0482,0.24228,6.4202,34.2,3,48
PTC270115P00125000,PTC,2027-01-15,113,P,125.0,-9.07,137.46499633789062,6.7,8.9,7.8,6.59,28.2,0.48944602355957045,-0.29782,0.00926,-0.05202,0.26506,8.2064,39.8,1,47
PTC270115P00130000,PTC,2027-01-15,113,P,130.0,-5.43,137.46499633789062,8.0,10.7,9.35,11.25,28.9,0.4746756634521484,-0.34814,0.01018,-0.05306,0.28275,9.8939,45.0,1,48
