contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
TER261009C00290000,TER,2026-10-09,15,C,290.0,-24.8,385.645,93.9,100.0,96.95,0.0,6.3,0.836,0.9774,0.0009,-0.0576,0.0421,97.1755,94.6,0,0
TER261009P00290000,TER,2026-10-09,15,P,290.0,-24.8,385.645,0.3,4.7,2.5,0.95,176.0,1.0054,-0.0225,0.0009,-0.0943,0.0422,2.4523,9.6,0,69
TER261009C00295000,TER,2026-10-09,15,C,295.0,-23.5,385.645,89.0,95.1,92.05,0.0,6.6,0.8072,0.972,0.0011,-0.0772,0.0503,92.2717,94.1,0,0
TER261009P00295000,TER,2026-10-09,15,P,295.0,-23.5,385.645,0.0,1.2,1.1,1.1,,0.7127,-0.0279,0.0011,-0.112,0.0504,0.5866,3.6,0,12
TER261009C00300000,TER,2026-10-09,15,C,300.0,-22.21,385.645,84.1,90.4,87.25,0.0,7.2,0.79,0.9655,0.0014,-0.0994,0.0599,87.4655,93.3,0,0
TER261009P00300000,TER,2026-10-09,15,P,300.0,-22.21,385.645,0.05,4.9,2.475,0.63,196.0,0.9081,-0.0344,0.0014,-0.1324,0.06,2.4262,10.0,0,36
TER261009C00305000,TER,2026-10-09,15,C,305.0,-20.91,385.645,79.3,85.8,82.55,0.0,7.9,0.7806,0.9577,0.0016,-0.1245,0.0708,82.7573,92.1,0,0
TER261009P00305000,TER,2026-10-09,15,P,305.0,-20.91,385.645,0.0,2.1,1.28,1.28,,0.7084,-0.0422,0.0016,-0.1557,0.071,1.0256,5.8,0,26
TER261009C00310000,TER,2026-10-09,15,C,310.0,-19.62,385.645,74.5,80.7,77.6,66.05,8.0,0.7416,0.9483,0.002,-0.1527,0.0833,77.8049,91.7,0,0
TER261009P00310000,TER,2026-10-09,15,P,310.0,-19.62,385.645,0.4,2.55,1.475,0.95,145.8,0.719,-0.0517,0.002,-0.182,0.0834,1.442,7.5,0,59
TER261009C00315000,TER,2026-10-09,15,C,315.0,-18.32,385.645,69.6,76.0,72.8,0.0,8.8,0.7167,0.937,0.0023,-0.1839,0.0972,72.998,90.8,0,0
TER261009P00315000,TER,2026-10-09,15,P,315.0,-18.32,385.645,0.0,5.6,1.2,1.2,,0.7952,-0.0629,0.0023,-0.2114,0.0975,2.7436,11.8,0,29
TER261009C00320000,TER,2026-10-09,15,C,320.0,-17.02,385.645,65.1,71.3,68.2,0.0,9.1,0.7067,0.9238,0.0027,-0.2181,0.1126,68.389,89.3,0,0
TER261009P00320000,TER,2026-10-09,15,P,320.0,-17.02,385.645,0.0,3.5,2.05,2.05,,0.6616,-0.0762,0.0027,-0.2439,0.1128,1.7102,9.1,0,19
TER261009C00325000,TER,2026-10-09,15,C,325.0,-15.73,385.645,60.0,66.9,63.45,0.0,10.9,0.6805,0.9083,0.0031,-0.2551,0.1294,63.6323,88.2,0,0
TER261009P00325000,TER,2026-10-09,15,P,325.0,-15.73,385.645,0.9,6.4,3.65,2.75,150.7,0.76,-0.0918,0.0031,-0.2791,0.1298,3.5789,14.8,0,14
TER261009C00330000,TER,2026-10-09,15,C,330.0,-14.43,385.645,56.2,62.9,59.55,39.25,11.3,0.7082,0.8903,0.0036,-0.2945,0.1474,59.7147,84.7,0,52
TER261009P00330000,TER,2026-10-09,15,P,330.0,-14.43,385.645,1.8,3.3,2.55,3.27,58.8,0.6381,-0.1098,0.0036,-0.3168,0.1476,2.4927,12.5,5,41
