contract,ticker,expiry,dte,type,strike,moneyness_pct,spot,bid,ask,mid,last,spread_pct,iv,delta,gamma,theta,vega,theo,prob_itm,volume,oi
GOOGL261009C00260000,GOOGL,2026-10-09,14,C,260.0,-24.06,342.3599853515625,0.0,0.0,71.98,71.98,,1.0000000000000003e-05,1.0,0.0,-0.02845,0.0,82.7586,100.0,0,29
GOOGL261009C00265000,GOOGL,2026-10-09,14,C,265.0,-22.6,342.3599853515625,0.0,0.0,67.06,67.06,,1.0000000000000003e-05,1.0,0.0,-0.029,0.0,77.7662,100.0,0,29
GOOGL261009C00270000,GOOGL,2026-10-09,14,C,270.0,-21.14,342.3599853515625,0.0,0.0,63.43,63.43,,1.0000000000000003e-05,1.0,0.0,-0.02954,0.0,72.7739,100.0,56,20
GOOGL261009C00275000,GOOGL,2026-10-09,14,C,275.0,-19.68,342.3599853515625,0.0,0.0,57.7,57.7,,1.0000000000000003e-05,1.0,0.0,-0.03009,0.0,67.7816,100.0,46,17
GOOGL261009C00280000,GOOGL,2026-10-09,14,C,280.0,-18.21,342.3599853515625,0.0,0.0,75.55,75.55,,1.0000000000000003e-05,1.0,0.0,-0.03064,0.0,62.7892,100.0,2,10
GOOGL261009C00285000,GOOGL,2026-10-09,14,C,285.0,-16.75,342.3599853515625,0.0,0.0,58.66,58.66,,1.0000000000000003e-05,1.0,0.0,-0.03118,0.0,57.7969,100.0,2,11
GOOGL261009C00290000,GOOGL,2026-10-09,14,C,290.0,-15.29,342.3599853515625,0.0,0.0,52.54,52.54,,1.0000000000000003e-05,1.0,0.0,-0.03173,0.0,52.8046,100.0,1,13
GOOGL261009C00295000,GOOGL,2026-10-09,14,C,295.0,-13.83,342.3599853515625,0.0,0.0,44.55,44.55,,1.0000000000000003e-05,1.0,0.0,-0.03228,0.0,47.8122,100.0,78,13
GOOGL261009C00300000,GOOGL,2026-10-09,14,C,300.0,-12.37,342.3599853515625,0.0,0.0,39.74,39.74,,1.0000000000000003e-05,1.0,0.0,-0.03283,0.0,42.8199,100.0,86,22
GOOGL261009C00305000,GOOGL,2026-10-09,14,C,305.0,-10.91,342.3599853515625,0.0,0.0,38.81,38.81,,1.0000000000000003e-05,1.0,0.0,-0.03337,0.0,37.8276,100.0,421,66
GOOGL261009C00310000,GOOGL,2026-10-09,14,C,310.0,-9.45,342.3599853515625,0.0,0.0,32.85,32.85,,1.0000000000000003e-05,1.0,0.0,-0.03392,0.0,32.8352,100.0,47,58
GOOGL261009C00315000,GOOGL,2026-10-09,14,C,315.0,-7.99,342.3599853515625,0.0,0.0,29.3,29.3,,1.0000000000000003e-05,1.0,0.0,-0.03447,0.0,27.8429,100.0,5,73
GOOGL261009C00320000,GOOGL,2026-10-09,14,C,320.0,-6.53,342.3599853515625,0.0,0.0,24.35,24.35,,1.0000000000000003e-05,1.0,0.0,-0.03501,0.0,22.8506,100.0,6,45
GOOGL261009C00325000,GOOGL,2026-10-09,14,C,325.0,-5.07,342.3599853515625,0.0,0.0,19.6,19.6,,1.0000000000000003e-05,1.0,0.0,-0.03556,0.0,17.8582,100.0,4,59
GOOGL261009C00330000,GOOGL,2026-10-09,14,C,330.0,-3.61,342.3599853515625,0.0,0.0,15.8,15.8,,1.0000000000000003e-05,1.0,0.0,-0.03611,0.0,12.8659,100.0,25,183
GOOGL261009C00332500,GOOGL,2026-10-09,14,C,332.5,-2.88,342.3599853515625,0.0,0.0,13.4,13.4,,1.0000000000000003e-05,1.0,0.0,-0.03638,0.0,10.3697,100.0,4,4
GOOGL261009C00335000,GOOGL,2026-10-09,14,C,335.0,-2.15,342.3599853515625,0.0,0.0,12.55,12.55,,1.0000000000000003e-05,1.0,0.0,-0.03666,0.0,7.8736,100.0,143,593
GOOGL261009C00337500,GOOGL,2026-10-09,14,C,337.5,-1.42,342.3599853515625,0.0,0.0,11.35,11.35,,1.0000000000000003e-05,1.0,0.0,-0.03693,0.0,5.3774,100.0,260,103
GOOGL261009C00340000,GOOGL,2026-10-09,14,C,340.0,-0.69,342.3599853515625,0.0,0.0,9.83,9.83,,1.0000000000000003e-05,1.0,0.0,-0.0372,0.0,2.8812,100.0,443,536
GOOGL261009C00342500,GOOGL,2026-10-09,14,C,342.5,0.04,342.3599853515625,0.0,0.0,8.84,8.84,,0.000986552734375,1.0,0.0,-0.03748,0.0,0.3851,100.0,255,965
GOOGL261009C00345000,GOOGL,2026-10-09,14,C,345.0,0.77,342.3599853515625,0.0,0.0,7.5,7.5,,0.007822421875,3e-05,0.00024,-0.0,9e-05,0.0,0.0,433,974
GOOGL261009C00347500,GOOGL,2026-10-09,14,C,347.5,1.5,342.3599853515625,0.0,0.0,6.55,6.55,,0.015634843750000002,1e-05,3e-05,-0.0,2e-05,0.0,0.0,244,279
GOOGL261009C00350000,GOOGL,2026-10-09,14,C,350.0,2.23,342.3599853515625,0.0,0.0,5.61,5.61,,0.0312596875,0.0004,0.00069,-0.00012,0.00097,0.0002,0.0,576,1014
GOOGL261009C00352500,GOOGL,2026-10-09,14,C,352.5,2.96,342.3599853515625,0.0,0.0,4.63,4.63,,0.0312596875,0.0,1e-05,-0.0,1e-05,0.0,0.0,71,112
GOOGL261009C00355000,GOOGL,2026-10-09,14,C,355.0,3.69,342.3599853515625,0.0,0.0,4.11,4.11,,0.0312596875,0.0,0.0,-0.0,0.0,0.0,0.0,2968,9631
GOOGL261009C00357500,GOOGL,2026-10-09,14,C,357.5,4.42,342.3599853515625,0.0,0.0,3.44,3.44,,0.062509375,0.00033,0.00029,-0.00019,0.00082,0.0004,0.0,43,688
GOOGL261009C00360000,GOOGL,2026-10-09,14,C,360.0,5.15,342.3599853515625,0.0,0.0,2.92,2.92,,0.062509375,4e-05,4e-05,-2e-05,0.0001,0.0,0.0,1401,1966
GOOGL261009C00362500,GOOGL,2026-10-09,14,C,362.5,5.88,342.3599853515625,0.0,0.0,2.45,2.45,,0.062509375,0.0,0.0,-0.0,1e-05,0.0,0.0,99,238
GOOGL261009C00365000,GOOGL,2026-10-09,14,C,365.0,6.61,342.3599853515625,0.0,0.0,2.08,2.08,,0.062509375,0.0,0.0,-0.0,0.0,0.0,0.0,123,1341
GOOGL261009C00367500,GOOGL,2026-10-09,14,C,367.5,7.34,342.3599853515625,0.0,0.0,1.6,1.6,,0.062509375,0.0,0.0,-0.0,0.0,0.0,0.0,90,119
GOOGL261009C00370000,GOOGL,2026-10-09,14,C,370.0,8.07,342.3599853515625,0.0,0.0,1.37,1.37,,0.062509375,0.0,0.0,-0.0,0.0,0.0,0.0,209,1411
GOOGL261009C00372500,GOOGL,2026-10-09,14,C,372.5,8.8,342.3599853515625,0.0,0.0,1.18,1.18,,0.062509375,0.0,0.0,-0.0,0.0,0.0,0.0,61,102
GOOGL261009C00375000,GOOGL,2026-10-09,14,C,375.0,9.53,342.3599853515625,0.0,0.0,1.02,1.02,,0.12500875,0.00013,6e-05,-0.00016,0.00035,0.0003,0.0,396,1083
GOOGL261009C00380000,GOOGL,2026-10-09,14,C,380.0,10.99,342.3599853515625,0.0,0.0,0.72,0.72,,0.12500875,1e-05,1e-05,-2e-05,4e-05,0.0,0.0,798,1044
GOOGL261009C00385000,GOOGL,2026-10-09,14,C,385.0,12.45,342.3599853515625,0.0,0.0,0.52,0.52,,0.12500875,0.0,0.0,-0.0,0.0,0.0,0.0,527,1960
GOOGL261009C00390000,GOOGL,2026-10-09,14,C,390.0,13.92,342.3599853515625,0.0,0.0,0.42,0.42,,0.12500875,0.0,0.0,-0.0,0.0,0.0,0.0,18,305
GOOGL261009C00395000,GOOGL,2026-10-09,14,C,395.0,15.38,342.3599853515625,0.0,0.0,0.37,0.37,,0.12500875,0.0,0.0,-0.0,0.0,0.0,0.0,18,232
GOOGL261009C00400000,GOOGL,2026-10-09,14,C,400.0,16.84,342.3599853515625,0.0,0.0,0.26,0.26,,0.12500875,0.0,0.0,-0.0,0.0,0.0,0.0,10,661
GOOGL261009C00405000,GOOGL,2026-10-09,14,C,405.0,18.3,342.3599853515625,0.0,0.0,0.2,0.2,,0.12500875,0.0,0.0,-0.0,0.0,0.0,0.0,5,157
GOOGL261009C00410000,GOOGL,2026-10-09,14,C,410.0,19.76,342.3599853515625,0.0,0.0,0.21,0.21,,0.2500075,0.00014,3e-05,-0.00034,0.00037,0.0006,0.0,5,147
GOOGL261009C00415000,GOOGL,2026-10-09,14,C,415.0,21.22,342.3599853515625,0.0,0.0,0.12,0.12,,0.2500075,5e-05,1e-05,-0.00013,0.00015,0.0002,0.0,10,56
GOOGL261009C00420000,GOOGL,2026-10-09,14,C,420.0,22.68,342.3599853515625,0.0,0.0,0.16,0.16,,0.2500075,2e-05,0.0,-5e-05,6e-05,0.0001,0.0,2413,3298
GOOGL261009C00425000,GOOGL,2026-10-09,14,C,425.0,24.14,342.3599853515625,0.0,0.0,0.14,0.14,,0.2500075,1e-05,0.0,-2e-05,2e-05,0.0,0.0,3,14
GOOGL261009P00260000,GOOGL,2026-10-09,14,P,260.0,-24.06,342.3599853515625,0.0,0.0,0.06,0.06,,0.2500075,-0.0,0.0,-0.0,0.0,0.0,0.0,4,59
GOOGL261009P00265000,GOOGL,2026-10-09,14,P,265.0,-22.6,342.3599853515625,0.0,0.0,0.06,0.06,,0.2500075,-0.0,0.0,-0.0,0.0,0.0,0.0,15,95
GOOGL261009P00270000,GOOGL,2026-10-09,14,P,270.0,-21.14,342.3599853515625,0.0,0.0,0.13,0.13,,0.2500075,-0.0,0.0,-0.0,0.0,0.0,0.0,3,25
GOOGL261009P00275000,GOOGL,2026-10-09,14,P,275.0,-19.68,342.3599853515625,0.0,0.0,0.1,0.1,,0.2500075,-0.0,0.0,-1e-05,1e-05,0.0,0.0,4,51
GOOGL261009P00280000,GOOGL,2026-10-09,14,P,280.0,-18.21,342.3599853515625,0.0,0.0,0.12,0.12,,0.2500075,-2e-05,0.0,-4e-05,5e-05,0.0001,0.0,10,83
GOOGL261009P00285000,GOOGL,2026-10-09,14,P,285.0,-16.75,342.3599853515625,0.0,0.0,0.13,0.13,,0.2500075,-7e-05,2e-05,-0.00017,0.0002,0.0003,0.0,2,109
GOOGL261009P00290000,GOOGL,2026-10-09,14,P,290.0,-15.29,342.3599853515625,0.0,0.0,0.19,0.19,,0.12500875,-0.0,0.0,-0.0,0.0,0.0,0.0,4,181
GOOGL261009P00295000,GOOGL,2026-10-09,14,P,295.0,-13.83,342.3599853515625,0.0,0.0,0.29,0.29,,0.12500875,-0.0,0.0,-0.0,0.0,0.0,0.0,15,367
GOOGL261009P00300000,GOOGL,2026-10-09,14,P,300.0,-12.37,342.3599853515625,0.0,0.0,0.32,0.32,,0.12500875,-0.0,0.0,-0.0,0.0,0.0,0.0,156,767
GOOGL261009P00305000,GOOGL,2026-10-09,14,P,305.0,-10.91,342.3599853515625,0.0,0.0,0.39,0.39,,0.12500875,-0.0,0.0,-0.0,0.0,0.0,0.0,94,2854
GOOGL261009P00310000,GOOGL,2026-10-09,14,P,310.0,-9.45,342.3599853515625,0.0,0.0,0.62,0.62,,0.12500875,-2e-05,1e-05,-2e-05,5e-05,0.0,0.0,97,661
GOOGL261009P00315000,GOOGL,2026-10-09,14,P,315.0,-7.99,342.3599853515625,0.0,0.0,0.9,0.9,,0.062509375,-0.0,0.0,-0.0,0.0,0.0,0.0,71,1591
GOOGL261009P00320000,GOOGL,2026-10-09,14,P,320.0,-6.53,342.3599853515625,0.0,0.0,1.44,1.44,,0.062509375,-0.0,0.0,-0.0,0.0,0.0,0.0,220,1080
GOOGL261009P00325000,GOOGL,2026-10-09,14,P,325.0,-5.07,342.3599853515625,0.0,0.0,2.17,2.17,,0.062509375,-1e-05,1e-05,-0.0,2e-05,0.0,0.0,133,1084
GOOGL261009P00327500,GOOGL,2026-10-09,14,P,327.5,-4.34,342.3599853515625,0.0,0.0,2.74,2.74,,0.062509375,-9e-05,8e-05,-5e-05,0.00023,0.0001,0.0,101,152
GOOGL261009P00330000,GOOGL,2026-10-09,14,P,330.0,-3.61,342.3599853515625,0.0,0.0,3.22,3.22,,0.0312596875,-0.0,0.0,-0.0,0.0,0.0,0.0,201,726
GOOGL261009P00332500,GOOGL,2026-10-09,14,P,332.5,-2.88,342.3599853515625,0.0,0.0,3.91,3.91,,0.0312596875,-0.0,0.0,-0.0,0.0,0.0,0.0,22,53
GOOGL261009P00335000,GOOGL,2026-10-09,14,P,335.0,-2.15,342.3599853515625,0.0,0.0,4.7,4.7,,0.0312596875,-7e-05,0.00014,-2e-05,0.00019,0.0,0.0,82,884
GOOGL261009P00337500,GOOGL,2026-10-09,14,P,337.5,-1.42,342.3599853515625,0.0,0.0,5.85,5.85,,0.015634843750000002,-0.0,0.0,-0.0,0.0,0.0,0.0,63,235
GOOGL261009P00340000,GOOGL,2026-10-09,14,P,340.0,-0.69,342.3599853515625,0.0,0.0,7.05,7.05,,0.007822421875,-0.0,0.0,-0.0,0.0,0.0,0.0,80,810
GOOGL261009P00342500,GOOGL,2026-10-09,14,P,342.5,0.04,342.3599853515625,0.0,0.0,8.55,8.55,,1.0000000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0,30,129
GOOGL261009P00345000,GOOGL,2026-10-09,14,P,345.0,0.77,342.3599853515625,0.0,0.0,9.39,9.39,,1.0000000000000003e-05,-1.0,0.0,0.03775,0.0,2.1111,100.0,17,525
GOOGL261009P00347500,GOOGL,2026-10-09,14,P,347.5,1.5,342.3599853515625,0.0,0.0,10.85,10.85,,1.0000000000000003e-05,-1.0,0.0,0.03802,0.0,4.6073,100.0,6,29
GOOGL261009P00350000,GOOGL,2026-10-09,14,P,350.0,2.23,342.3599853515625,0.0,0.0,11.95,11.95,,1.0000000000000003e-05,-1.0,0.0,0.0383,0.0,7.1034,100.0,98,354
GOOGL261009P00352500,GOOGL,2026-10-09,14,P,352.5,2.96,342.3599853515625,0.0,0.0,17.4,17.4,,1.0000000000000003e-05,-1.0,0.0,0.03857,0.0,9.5996,100.0,1,53
GOOGL261009P00355000,GOOGL,2026-10-09,14,P,355.0,3.69,342.3599853515625,0.0,0.0,15.26,15.26,,1.0000000000000003e-05,-1.0,0.0,0.03884,0.0,12.0958,100.0,143,215
GOOGL261009P00357500,GOOGL,2026-10-09,14,P,357.5,4.42,342.3599853515625,0.0,0.0,12.38,12.38,,1.0000000000000003e-05,-1.0,0.0,0.03912,0.0,14.5919,100.0,0,14
GOOGL261009P00360000,GOOGL,2026-10-09,14,P,360.0,5.15,342.3599853515625,0.0,0.0,20.4,20.4,,1.0000000000000003e-05,-1.0,0.0,0.03939,0.0,17.0881,100.0,104,137
GOOGL261009P00362500,GOOGL,2026-10-09,14,P,362.5,5.88,342.3599853515625,0.0,0.0,16.0,16.0,,1.0000000000000003e-05,-1.0,0.0,0.03967,0.0,19.5843,100.0,0,4
GOOGL261009P00365000,GOOGL,2026-10-09,14,P,365.0,6.61,342.3599853515625,0.0,0.0,26.0,26.0,,1.0000000000000003e-05,-1.0,0.0,0.03994,0.0,22.0804,100.0,5,53
